Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Tyrese Maxey,PG,6-2,23,15,15,44.0,9.3,20.1,.460,3.2,7.9,.407,6.1,12.3,.495,.540,4.5,5.0,.907,0.7,4.0,4.7,7.1,0.8,0.7,1.5,1.7,26.3,576,22.0,.588,.391,.248,2.1,11.2,6.7,29.1,1.0,1.7,6.4,26.2,1.9,0.5,2.4,.196,5.9,-0.6,5.3,1.1
Tobias Harris,PF,6-8,31,15,15,42.0,7.3,13.4,.547,1.2,3.3,.360,6.1,10.1,.609,.592,3.6,4.0,.900,0.9,5.5,6.4,2.7,0.9,0.4,1.6,1.6,19.5,548,17.6,.642,.249,.299,2.8,16.0,9.5,10.9,1.2,1.0,9.5,19.3,1.2,0.5,1.7,.153,1.6,-0.3,1.3,0.5
De'Anthony Melton,SG,6-2,25,15,15,35.0,3.9,9.9,.399,2.1,5.3,.405,1.8,4.6,.391,.507,2.2,2.7,.805,0.8,3.3,4.1,3.7,1.3,0.3,1.3,2.5,12.2,452,13.2,.551,.534,.277,2.9,11.9,7.5,16.4,2.1,1.0,10.3,17.2,0.5,0.5,1.0,.109,-0.5,0.5,0.0,0.2
Nicolas Batum,PF,6-8,35,7,4,29.0,2.1,3.6,.600,1.7,3.1,.545,0.4,0.4,1.000,.840,0.0,0.0,0.0,0.7,3.0,3.7,1.3,0.4,0.7,0.6,2.6,6.0,178,10.4,.840,.880,.000,3.1,12.7,8.0,6.4,0.8,2.5,13.8,6.9,0.3,0.2,0.5,.125,-1.0,0.5,-0.5,0.1
Patrick Beverley,PG,6-1,35,15,0,18.0,0.9,2.6,.333,0.1,1.3,.105,0.7,1.3,.550,.359,0.2,0.3,.600,0.8,2.0,2.8,1.8,0.5,0.4,0.6,2.1,2.1,239,6.0,.376,.487,.128,5.5,13.5,9.6,13.8,1.4,2.2,17.9,8.8,-0.1,0.3,0.2,.034,-4.8,1.1,-3.7,-0.1
Robert Covington,SF,6-7,33,12,3,18.0,1.7,3.8,.435,0.5,1.9,.261,1.2,1.9,.609,.500,0.8,0.8,.900,1.3,2.1,3.4,0.6,1.4,0.8,0.3,1.5,4.6,187,15.7,.546,.500,.217,9.5,14.3,11.9,4.9,4.4,4.2,7.4,12.2,0.2,0.4,0.6,.157,0.0,3.7,3.7,0.3
Paul Reed,C,6-9,24,15,0,16.0,2.1,3.9,.542,0.1,0.3,.200,2.1,3.6,.574,.551,0.1,0.3,.500,1.9,2.7,4.6,0.9,0.5,0.7,0.7,2.1,4.5,204,15.8,.551,.085,.068,15.7,21.0,18.4,9.6,1.7,4.7,14.1,14.6,0.3,0.3,0.6,.135,-1.7,0.6,-1.1,0.0
Danuel House Jr.,SF,6-6,30,10,0,15.0,1.3,3.1,.419,0.4,1.6,.250,0.9,1.5,.600,.484,0.8,1.0,.800,0.4,1.0,1.4,0.8,0.5,0.1,0.9,1.0,3.8,127,7.4,.537,.516,.323,3.5,8.4,6.0,8.2,1.9,0.7,20.3,14.7,-0.1,0.1,0.0,.018,-4.3,-0.6,-4.9,-0.1
Jaden Springer,SG,6-4,21,11,0,13.0,1.2,3.4,.351,0.3,1.1,.250,0.9,2.3,.400,.392,0.5,0.7,.750,1.1,0.9,2.0,0.9,0.5,0.5,1.1,1.6,3.2,127,6.9,.432,.324,.216,10.4,8.4,9.4,10.2,1.9,4.2,22.8,17.4,-0.2,0.1,-0.1,-0.023,-5.4,-0.3,-5.7,-0.1
Marcus Morris,PF,6-8,34,8,1,10.0,1.1,2.8,.409,0.5,1.3,.400,0.6,1.5,.417,.500,0.3,0.3,1.000,0.3,1.1,1.4,0.4,0.1,0.4,0.4,1.1,3.0,66,8.9,.524,.455,.091,3.3,14.6,9.1,6.2,0.7,4.0,11.6,16.5,0.0,0.1,0.1,.045,-2.7,-0.3,-3.0,0.0
PHI,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01254988913525501,-0.030631560832903137,-0.01254988913525501,0.030631560832903137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
