Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Damian Lillard,PG,6-2,33,31,31,36.0,7.4,17.1,.431,3.2,8.7,.365,4.2,8.4,.500,.524,7.5,8.1,.924,0.6,3.9,4.5,6.8,1.0,0.2,2.7,1.7,25.5,1092,20.9,.615,.510,.473,1.9,11.5,6.9,26.8,1.3,0.4,11.7,28.0,3.2,0.8,4.0,.174,4.1,-1.3,2.8,1.3
Giannis Antetokounmpo,PF,6-11,29,32,32,36.0,11.5,18.9,.606,0.3,1.7,.204,11.1,17.3,.645,.615,7.6,11.3,.676,2.7,8.6,11.3,5.7,1.3,1.2,3.8,2.9,30.9,1115,29.4,.647,.089,.596,8.9,25.7,17.7,27.5,1.8,2.8,13.6,33.4,3.8,1.7,5.4,.235,5.8,1.9,7.7,2.7
Brook Lopez,C,7-1,35,33,33,32.0,4.8,9.9,.479,1.6,5.0,.325,3.1,4.9,.636,.561,1.7,2.0,.821,1.5,3.5,5.1,1.4,0.7,3.1,0.8,2.8,12.8,1027,15.3,.592,.506,.204,5.6,11.8,8.9,5.7,1.1,7.8,6.8,15.7,1.4,1.3,2.7,.125,0.0,1.5,1.5,0.9
Malik Beasley,SG,6-4,27,31,31,31.0,4.3,8.7,.487,3.0,6.4,.470,1.3,2.4,.534,.659,0.3,0.4,.667,0.7,3.6,4.3,1.4,0.8,0.1,0.6,2.0,11.8,927,12.2,.661,.731,.044,2.6,12.7,7.9,5.9,1.3,0.3,6.4,13.4,1.4,0.7,2.1,.111,0.5,-0.4,0.1,0.5
Khris Middleton,SF,6-7,32,28,28,26.0,5.6,11.5,.492,1.6,4.3,.372,4.0,7.1,.565,.562,1.6,1.9,.833,0.7,3.8,4.5,4.8,0.8,0.1,2.1,2.3,14.5,700,17.0,.589,.377,.168,3.1,15.9,9.8,27.1,1.5,0.5,14.6,24.3,0.9,0.7,1.6,.109,0.8,-0.3,0.5,0.4
Bobby Portis,PF,6-10,28,33,0,25.0,5.2,10.2,.507,1.0,2.9,.354,4.1,7.2,.569,.558,1.3,1.6,.808,1.7,5.1,6.8,1.2,0.8,0.5,0.9,2.5,12.6,797,16.5,.581,.287,.155,8.2,21.9,15.4,6.7,1.5,1.6,8.0,20.6,1.0,1.0,2.0,.121,-0.7,-0.7,-1.4,0.1
Pat Connaughton,SF,6-5,31,27,0,22.0,2.0,4.8,.411,1.1,3.3,.322,0.9,1.4,.615,.523,0.4,0.6,.733,0.8,2.9,3.7,2.0,0.5,0.2,0.6,1.1,5.4,595,9.0,.538,.698,.116,4.1,13.6,9.1,10.6,1.0,0.7,10.6,10.7,0.4,0.4,0.9,.071,-1.5,0.0,-1.5,0.1
Cameron Payne,PG,6-3,29,33,2,15.0,2.2,4.8,.459,1.1,2.8,.394,1.1,2.0,.554,.575,0.7,0.8,.920,0.1,1.1,1.2,2.4,0.4,0.1,0.8,1.8,6.2,523,11.0,.606,.591,.157,0.7,7.1,4.1,19.5,1.2,0.3,14.1,16.0,0.7,0.3,1.0,.087,-1.9,-1.0,-2.9,-0.1
Andre Jackson Jr.,SG,6-6,22,27,5,10.0,0.9,1.7,.532,0.4,1.0,.423,0.5,0.8,.667,.649,0.1,0.1,.750,0.8,0.9,1.6,0.9,0.3,0.0,0.5,1.7,2.4,262,8.6,.656,.553,.085,9.2,9.1,9.2,10.6,1.3,0.0,21.0,9.9,0.3,0.2,0.5,.094,-2.8,-0.1,-2.8,-0.1
A.J. Green,SG,6-4,24,21,0,7.0,1.0,2.4,.440,0.9,2.1,.432,0.1,0.3,.500,.630,0.0,0.0,1.000,0.1,0.6,0.8,0.6,0.0,0.0,0.0,0.8,3.0,151,11.7,.634,.880,.020,2.3,8.9,5.8,11.0,0.0,0.0,0.0,14.1,0.4,0.0,0.4,.132,0.9,-2.2,-1.3,0.0
MIL,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.005399430931345872,-0.012011568259061467,0.005399430931345872,0.012011568259061467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
