Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
DeMar DeRozan,SF,6-6,34,3,3,36.0,9.0,18.3,.491,0.7,2.3,.286,8.3,16.0,.521,.509,5.7,8.0,.708,1.3,2.3,3.7,3.0,2.0,1.3,1.0,2.0,24.3,106,24.0,.557,.127,.436,3.5,8.6,5.6,16.4,2.8,3.8,4.4,27.4,0.3,0.1,0.3,.158,4.6,0.3,4.9,0.2
Nikola Vučević,C,6-10,33,3,3,34.0,4.7,11.3,.412,0.7,3.0,.222,4.0,8.3,.480,.441,1.3,1.7,.800,1.3,7.0,8.3,2.0,1.0,1.0,2.7,3.0,11.3,105,8.9,.470,.265,.147,3.5,26.1,12.9,8.9,1.4,2.9,18.1,17.9,-0.2,0.1,-0.1,-0.037,-5.4,-1.7,-7.1,-0.1
Zach LaVine,SG,6-5,28,3,3,33.0,8.7,21.0,.413,3.0,9.3,.321,5.7,11.7,.486,.484,4.7,5.3,.875,0.3,4.0,4.3,1.3,0.3,0.3,3.7,2.7,25.0,100,13.8,.535,.444,.254,0.9,15.7,7.0,7.8,0.5,1.0,13.6,34.4,-0.1,0.0,-0.1,-0.038,0.1,-4.4,-4.3,0.0
Coby White,SG,6-5,23,3,3,32.0,3.0,11.0,.273,1.3,6.0,.222,1.7,5.0,.333,.333,3.3,3.7,.909,0.3,3.7,4.0,4.3,0.3,0.0,1.3,2.0,10.7,99,7.5,.423,.545,.333,0.9,14.5,6.6,19.3,0.5,0.0,9.6,17.9,-0.1,0.0,-0.1,-0.028,-4.4,-3.4,-7.7,-0.1
Alex Caruso,PG,6-4,29,3,0,24.0,2.7,5.3,.500,1.0,3.0,.333,1.7,2.3,.714,.594,0.7,1.3,.500,2.7,4.0,6.7,3.0,2.7,0.7,0.3,3.0,7.0,72,21.9,.591,.563,.250,10.3,21.8,15.1,18.9,5.5,2.8,5.3,11.1,0.2,0.1,0.3,.216,1.6,4.8,6.5,0.1
Torrey Craig,SF,6-7,33,3,0,22.0,3.0,6.7,.450,1.3,3.3,.400,1.7,3.3,.500,.550,0.0,0.0,0.0,2.7,2.3,5.0,0.3,0.3,0.7,0.3,2.3,7.3,68,13.1,.550,.500,.000,10.9,13.5,12.0,2.3,0.7,2.9,4.8,13.1,0.1,0.0,0.1,.085,-1.2,-3.4,-4.6,0.0
Patrick Williams,PF,6-7,22,3,3,21.0,1.7,6.0,.278,0.3,3.0,.111,1.3,3.0,.444,.306,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.7,0.0,1.0,3.0,3.7,65,4.5,.306,.500,.000,4.3,12.1,7.5,13.3,3.8,0.0,14.3,13.7,-0.1,0.1,-0.1,-0.069,-8.4,-1.2,-9.6,-0.1
Andre Drummond,C,6-10,30,3,0,14.0,2.3,5.3,.438,0.0,0.0,0.0,2.3,5.3,.438,.438,0.7,0.7,1.000,2.7,1.3,4.0,1.0,1.3,0.3,1.0,1.0,5.3,43,18.7,.474,.000,.125,17.2,12.2,15.1,11.5,4.6,2.3,15.1,19.6,0.0,0.0,0.1,.069,-0.8,-1.3,-2.1,0.0
Jevon Carter,PG,6-1,28,3,0,13.0,0.7,4.0,.167,0.7,3.3,.200,0.0,0.7,.000,.250,0.0,0.0,0.0,0.3,0.7,1.0,1.3,0.0,0.0,0.3,0.3,2.0,41,-0.2,.250,.833,.000,2.3,6.4,4.0,13.5,0.0,0.0,7.7,13.4,-0.1,0.0,-0.1,-0.140,-7.7,-5.6,-13.3,-0.1
Ayo Dosunmu,SG,6-5,24,3,0,11.0,2.3,5.3,.438,1.0,2.3,.429,1.3,3.0,.444,.531,0.0,0.0,0.0,0.7,0.7,1.3,1.3,0.3,0.0,0.3,0.0,5.7,35,16.8,.531,.438,.000,5.3,7.5,6.2,20.0,1.4,0.0,5.9,20.6,0.1,0.0,0.1,.076,2.9,-2.9,0.0,0.0
CHI,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0032663458985732197,0.004219967298259131,-0.0032663458985733307,-0.004219967298259131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
