Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Donovan Mitchell,SG,6-1,27,8,8,34.0,10.6,21.9,.486,3.3,9.0,.361,7.4,12.9,.573,.560,5.0,5.6,.889,1.1,4.0,5.1,5.5,2.3,0.6,2.6,2.4,29.5,287,25.7,.606,.411,.257,3.3,11.5,7.5,28.9,3.0,1.5,9.7,32.1,0.8,0.4,1.2,.195,6.5,1.8,8.3,0.8
Max Strus,SF,6-5,27,9,9,33.0,4.9,11.9,.411,2.7,7.8,.343,2.2,4.1,.541,.523,1.3,1.6,.857,0.4,5.7,6.1,3.3,0.7,0.7,1.0,2.3,13.8,315,12.2,.548,.654,.131,1.3,16.7,9.1,13.9,0.9,1.6,7.4,16.6,0.3,0.3,0.6,.090,-0.5,0.2,-0.3,0.1
Caris LeVert,SG,6-6,29,8,1,32.0,6.5,15.6,.416,2.1,6.4,.333,4.4,9.3,.473,.484,3.6,5.0,.725,0.5,4.0,4.5,4.3,1.3,0.5,1.4,1.9,18.8,270,15.8,.526,.408,.320,1.6,12.2,7.0,19.9,1.8,1.3,7.2,24.3,0.2,0.3,0.5,.092,0.0,0.1,0.1,0.1
Darius Garland,PG,6-1,24,5,5,31.0,6.0,12.8,.469,1.0,4.0,.250,5.0,8.8,.568,.508,4.4,5.2,.846,0.8,2.0,2.8,6.2,2.2,0.4,5.6,2.4,17.4,166,13.4,.577,.313,.406,2.5,6.2,4.4,28.9,3.2,1.0,27.1,26.6,-0.2,0.2,0.0,.003,-2.5,-1.1,-3.6,-0.1
Evan Mobley,PF,7-0,22,9,9,31.0,6.6,12.8,.513,0.1,0.7,.167,6.4,12.1,.532,.517,2.9,3.8,.765,2.7,7.4,10.1,3.0,0.8,2.0,2.0,2.8,16.1,294,18.6,.558,.052,.296,8.6,23.6,16.2,14.7,1.1,5.2,12.2,21.5,0.3,0.5,0.8,.128,-0.5,1.3,0.9,0.2
Jarrett Allen,C,6-11,25,4,4,24.0,3.8,6.3,.600,0.0,0.0,0.0,3.8,6.3,.600,.600,4.5,5.8,.783,3.5,3.3,6.8,2.0,0.8,0.8,1.3,2.3,12.0,103,20.9,.683,.000,.920,14.4,13.0,13.7,11.4,1.4,2.5,12.5,16.6,0.4,0.1,0.5,.225,2.1,0.2,2.3,0.1
Georges Niang,PF,6-7,30,9,1,21.0,2.0,6.8,.295,1.1,4.6,.244,0.9,2.2,.400,.377,0.4,0.4,1.000,0.4,3.7,4.1,1.0,0.1,0.1,0.6,2.8,5.6,202,3.1,.398,.672,.066,2.1,16.9,9.6,6.0,0.2,0.4,7.4,14.3,-0.3,0.2,-0.1,-0.027,-6.4,-1.2,-7.6,-0.3
Dean Wade,PF,6-9,27,8,3,17.0,1.3,3.4,.370,1.1,3.1,.360,0.1,0.3,.500,.537,0.3,0.5,.500,0.8,3.1,3.9,0.5,0.8,0.3,0.5,2.5,3.9,142,7.5,.539,.926,.148,4.5,18.2,11.4,3.7,2.0,1.2,12.2,9.9,0.0,0.2,0.2,.072,-4.5,1.2,-3.4,0.0
Craig Porter Jr.,PG,6-2,23,4,0,9.0,1.5,3.3,.462,0.0,0.3,.000,1.5,3.0,.500,.462,0.8,2.0,.375,0.3,1.0,1.3,0.8,0.8,0.3,0.8,1.5,3.8,39,8.5,.454,.077,.615,2.7,10.6,6.7,11.4,3.7,2.2,15.4,21.4,-0.1,0.1,0.0,-0.028,-6.8,3.2,-3.6,0.0
Emoni Bates,SF,6-10,20,3,0,8.0,1.0,3.0,.333,0.7,2.0,.333,0.3,1.0,.333,.444,0.3,0.7,.500,0.3,1.7,2.0,0.3,0.0,0.3,0.3,0.3,3.0,30,7.0,.455,.667,.222,3.5,17.2,10.4,4.6,0.0,2.8,9.2,15.5,0.0,0.0,0.0,-0.001,-2.9,-1.5,-4.4,0.0
CLE,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.011561441729039501,-0.026455026455026454,0.01156144172903939,0.026455026455026398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
