Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jayson Tatum,PF,6-8,25,15,15,38.0,9.9,19.8,.502,3.3,8.9,.373,6.6,10.9,.607,.586,4.7,5.9,.795,0.7,8.4,9.1,4.1,1.1,0.4,3.1,2.3,27.9,553,22.4,.623,.451,.296,2.3,23.2,13.3,18.7,1.4,1.0,12.1,30.0,1.2,1.0,2.2,.191,4.4,1.2,5.6,1.0
Jaylen Brown,SF,6-6,27,14,14,35.0,8.1,17.7,.460,2.5,7.1,.354,5.6,10.6,.530,.530,2.9,3.9,.741,0.4,4.4,4.8,3.6,1.0,0.5,2.4,2.8,21.6,475,16.0,.557,.399,.218,1.4,13.1,7.6,16.7,1.4,1.3,10.8,27.9,0.3,0.8,1.0,.103,-0.2,0.3,0.2,0.3
Derrick White,SG,6-4,29,12,12,33.0,4.5,9.5,.474,2.4,5.7,.426,2.1,3.8,.543,.601,2.2,2.6,.839,0.7,3.0,3.7,4.6,0.8,0.9,1.8,2.0,13.6,380,15.7,.639,.596,.272,2.4,9.7,6.2,19.9,1.3,2.6,14.1,17.0,0.8,0.6,1.4,.173,1.9,1.6,3.4,0.5
Kristaps Porziņģis,C,7-2,28,14,14,32.0,6.7,12.1,.553,1.6,5.0,.329,5.1,7.1,.710,.621,4.6,5.6,.810,1.5,5.4,6.9,1.9,0.6,1.8,1.2,3.4,19.6,431,22.7,.672,.412,.465,5.5,17.7,11.9,9.3,0.9,5.2,7.7,22.4,1.5,0.8,2.3,.257,3.6,2.4,6.0,0.9
Al Horford,C,6-9,37,13,3,25.0,2.5,5.6,.452,1.2,3.4,.364,1.3,2.2,.586,.562,0.2,0.2,1.000,1.7,4.2,5.9,2.5,0.4,0.8,0.8,1.5,6.5,319,12.8,.572,.603,.041,7.8,17.6,12.9,13.1,0.8,3.1,12.9,11.6,0.5,0.5,1.0,.150,0.6,2.0,2.6,0.4
Sam Hauser,SF,6-8,26,15,2,23.0,3.3,6.8,.480,2.7,6.1,.446,0.5,0.7,.800,.681,0.3,0.3,1.000,0.5,2.5,3.0,0.7,0.6,0.4,0.4,1.6,9.5,332,14.4,.689,.902,.039,2.7,11.4,7.3,4.6,1.3,1.6,5.5,14.4,0.7,0.5,1.2,.174,2.4,1.1,3.5,0.5
Payton Pritchard,PG,6-1,26,15,0,22.0,2.3,6.0,.389,1.1,3.5,.321,1.2,2.5,.486,.483,0.5,0.7,.727,1.2,2.1,3.3,3.1,0.3,0.0,0.7,1.3,6.3,316,11.2,.501,.589,.122,6.4,10.3,8.5,19.6,0.8,0.0,9.5,14.4,0.4,0.4,0.8,.120,-0.9,0.3,-0.6,0.1
Luke Kornet,C,7-2,28,10,0,12.0,1.7,2.1,.810,0.0,0.0,0.0,1.7,2.1,.810,.810,0.6,0.8,.750,1.2,2.3,3.5,0.6,0.4,0.3,0.3,1.0,4.0,123,18.4,.816,.000,.381,11.0,19.1,15.3,6.7,1.6,2.2,10.9,9.7,0.4,0.2,0.6,.249,1.3,2.2,3.5,0.2
Oshae Brissett,SF,6-7,25,7,0,11.0,0.4,2.4,.176,0.1,1.3,.111,0.3,1.1,.250,.206,1.0,1.4,.700,1.1,1.9,3.0,0.4,0.6,0.0,0.3,1.0,2.0,84,6.2,.327,.529,.588,10.8,15.8,13.4,4.3,2.3,0.0,8.5,12.1,-0.1,0.2,0.1,.044,-5.6,0.5,-5.1,-0.1
Svi Mykhailiuk,SF,6-7,26,7,0,9.0,0.9,2.4,.353,0.6,2.0,.286,0.3,0.4,.667,.471,0.0,0.0,0.0,0.1,0.6,0.7,0.1,0.4,0.0,0.6,0.6,2.3,58,3.8,.471,.824,.000,2.0,7.0,4.6,2.2,2.5,0.0,19.0,15.7,-0.1,0.1,0.0,-0.026,-7.1,-0.1,-7.2,-0.1
BOS,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.014896595882948893,0.04044250132485422,-0.014896595882948893,-0.040442501324854274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
