Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Paul George,SF,6-8,33,4,4,33.0,9.0,17.0,.529,3.8,8.0,.469,5.3,9.0,.583,.640,5.5,5.8,.957,0.8,3.8,4.5,4.8,2.5,0.0,2.5,1.5,27.3,130,29.7,.698,.471,.338,2.9,12.3,7.9,22.3,3.6,0.0,11.3,28.8,0.7,0.3,0.9,.350,7.6,1.4,9.1,0.4
Kawhi Leonard,SF,6-7,32,4,4,32.0,7.0,15.8,.444,3.0,6.3,.480,4.0,9.5,.421,.540,2.3,3.0,.750,1.5,4.8,6.3,4.5,1.8,0.3,2.3,1.5,19.3,126,19.9,.564,.397,.190,5.9,16.1,11.4,20.1,2.6,0.7,11.6,26.1,0.3,0.2,0.5,.193,2.4,-0.3,2.1,0.1
Russell Westbrook,PG,6-3,35,4,4,31.0,5.8,10.3,.561,1.0,3.0,.333,4.8,7.3,.655,.610,0.5,1.3,.400,1.0,6.0,7.0,6.8,1.8,0.8,3.3,3.5,13.0,125,17.1,.602,.293,.122,4.0,20.5,12.8,28.9,2.7,2.2,23.1,19.1,0.2,0.3,0.5,.178,-0.5,2.1,1.7,0.1
Bones Hyland,PG,6-3,23,4,1,24.0,6.0,12.3,.490,3.3,7.0,.464,2.8,5.3,.524,.622,0.8,1.0,.750,0.0,1.3,1.3,2.0,0.8,0.0,2.5,2.8,16.0,98,13.9,.630,.571,.082,0.0,5.4,2.9,11.9,1.5,0.0,16.5,26.4,0.1,0.1,0.2,.097,-0.9,-2.4,-3.3,0.0
Norman Powell,SG,6-3,30,4,0,24.0,4.8,8.8,.543,2.0,4.8,.421,2.8,4.0,.688,.657,3.0,3.8,.800,0.3,2.8,3.0,1.5,0.8,0.3,1.5,1.8,14.5,96,18.4,.697,.543,.429,1.3,12.2,7.2,8.5,1.5,0.9,12.6,21.1,0.3,0.1,0.4,.211,1.5,-0.7,0.9,0.1
Robert Covington,PF,6-7,33,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0,69,10.8,.455,.889,.222,3.6,9.3,6.6,11.4,4.1,2.6,0.0,6.1,0.1,0.2,0.2,.172,-1.8,3.6,1.8,0.1
Ivica Zubac,C,7-0,26,4,4,22.0,5.3,7.8,.677,0.0,0.0,0.0,5.3,7.8,.677,.677,2.3,3.8,.600,2.3,5.5,7.8,0.3,0.0,2.0,1.3,2.5,12.8,90,22.2,.678,.000,.484,12.4,26.1,19.7,1.6,0.0,8.0,11.7,20.1,0.3,0.2,0.4,.238,-0.4,-0.5,-0.8,0.0
Mason Plumlee,C,6-11,33,4,0,18.0,2.5,3.8,.667,0.0,0.0,0.0,2.5,3.8,.667,.667,0.8,2.0,.375,2.0,4.3,6.3,1.3,0.0,0.3,0.8,1.5,5.8,72,14.6,.621,.000,.533,13.8,25.2,19.9,8.8,0.0,1.2,13.9,12.7,0.2,0.1,0.3,.183,-0.7,-1.2,-1.9,0.0
Nicolas Batum,PF,6-8,35,3,0,18.0,1.0,2.7,.375,0.7,2.3,.286,0.3,0.3,1.000,.500,0.0,0.0,0.0,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7,54,10.0,.500,.875,.000,0.0,13.8,7.4,10.6,2.6,6.6,11.1,7.1,0.0,0.1,0.2,.139,-1.3,3.6,2.3,0.1
Kenyon Martin Jr.,SF,6-6,23,2,0,15.0,2.0,5.0,.400,0.5,2.5,.200,1.5,2.5,.600,.450,0.5,1.0,.500,0.5,1.0,1.5,0.5,1.0,0.5,1.0,1.5,5.0,31,7.4,.460,.500,.200,4.0,6.9,5.5,4.0,3.1,2.9,15.5,17.7,0.0,0.1,0.0,.024,-6.5,0.0,-6.5,0.0
LAC,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003067838110326959,0.002140249276092132,-0.003067838110326959,-0.002140249276092132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
