Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Trae Young,PG,6-1,25,30,30,38.0,8.8,20.2,.436,3.6,9.3,.385,5.2,10.9,.480,.525,7.2,8.3,.860,0.5,2.5,3.0,11.3,1.4,0.2,4.3,2.0,28.3,1098,22.5,.594,.460,.413,1.4,7.7,4.5,45.7,1.9,0.4,15.2,31.4,3.2,0.3,3.5,.152,6.3,-2.0,4.3,1.7
Dejounte Murray,SG,6-5,27,32,32,36.0,7.9,17.1,.461,2.4,6.3,.383,5.5,10.8,.506,.531,2.4,2.9,.817,0.8,3.8,4.6,5.2,1.5,0.3,2.1,1.7,20.5,1102,16.9,.559,.367,.170,2.4,12.4,7.3,22.0,2.1,0.9,10.4,24.3,1.5,0.5,2.0,.085,1.5,-0.7,0.7,0.8
Saddiq Bey,SF,6-7,24,32,20,34.0,4.7,10.4,.449,1.9,5.4,.347,2.8,5.0,.560,.539,1.8,2.2,.789,2.3,4.3,6.6,1.3,1.1,0.2,1.1,1.6,12.9,1031,12.8,.570,.521,.214,7.7,14.8,11.1,5.3,1.6,0.4,9.0,15.8,1.2,0.4,1.6,.074,-0.1,-1.5,-1.6,0.1
Jalen Johnson,SF,6-9,22,18,15,32.0,5.8,9.7,.594,1.1,2.7,.408,4.7,7.0,.667,.651,1.9,2.4,.773,1.4,6.7,8.1,2.7,1.0,0.9,2.1,2.1,14.6,549,17.4,.674,.280,.251,4.8,24.7,14.5,12.1,1.6,2.5,16.0,17.2,0.9,0.4,1.3,.117,1.3,0.8,2.1,0.6
Bogdan Bogdanović,SG,6-5,31,30,2,30.0,6.3,14.4,.440,3.3,8.8,.379,3.0,5.6,.536,.556,1.5,1.7,.902,0.5,2.8,3.3,2.7,1.2,0.3,1.0,2.5,17.5,856,16.3,.579,.611,.118,1.9,11.0,6.3,13.7,2.0,0.8,6.2,23.1,1.5,0.4,1.8,.103,2.1,-0.6,1.5,0.8
Clint Capela,C,6-10,29,31,31,27.0,5.0,8.5,.591,0.0,0.0,0.0,5.0,8.5,.591,.591,1.9,2.8,.686,4.9,5.8,10.7,1.2,0.6,1.6,1.0,2.7,12.0,816,21.7,.615,.000,.326,19.8,24.7,22.2,6.4,1.2,5.4,9.0,16.6,2.3,0.8,3.1,.182,1.7,-0.9,0.8,0.6
Garrison Mathews,SG,6-5,27,20,3,12.0,0.9,2.1,.429,0.9,2.1,.439,0.0,0.1,.000,.643,0.0,0.1,.000,0.2,0.9,1.1,0.3,0.4,0.2,0.3,1.7,2.7,232,5.7,.636,.976,.024,1.8,8.7,5.2,2.6,1.4,1.1,12.4,8.5,0.1,0.1,0.2,.035,-4.0,-0.5,-4.5,-0.1
Wesley Matthews,SG,6-5,37,18,1,11.0,0.6,2.2,.256,0.3,1.7,.200,0.2,0.5,.444,.333,0.8,1.1,.737,0.2,1.2,1.4,0.7,0.5,0.2,0.3,1.4,2.2,205,4.8,.422,.769,.487,2.1,11.5,6.6,6.8,2.1,1.3,11.2,10.6,-0.1,0.1,0.0,-0.002,-5.8,0.1,-5.7,-0.2
Patty Mills,PG,6-2,35,7,0,10.0,0.7,2.0,.357,0.7,1.4,.500,0.0,0.6,.000,.536,0.0,0.0,0.0,0.1,0.9,1.0,0.7,0.1,0.1,0.4,1.1,2.1,67,4.7,.536,.714,.000,1.6,10.0,5.7,8.9,0.7,1.3,17.6,10.4,0.0,0.0,0.0,.000,-4.6,-0.5,-5.1,-0.1
AJ Griffin,SF,6-6,20,12,0,10.0,0.8,2.8,.294,0.7,2.1,.320,0.2,0.8,.222,.412,0.2,0.2,1.000,0.2,0.8,1.0,0.3,0.1,0.0,0.3,0.5,2.5,110,3.0,.430,.735,.059,1.9,10.2,5.9,4.4,0.4,0.0,10.3,14.4,-0.1,0.0,-0.1,-0.059,-4.4,-2.8,-7.2,-0.1
ATL,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01442731130564745,0.005128949696449947,-0.014427311305647339,-0.005128949696449947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
