Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
LaMelo Ball,PG,6-7,22,10,10,34.0,7.7,18.4,.418,3.0,8.2,.366,4.7,10.2,.461,.500,3.8,4.5,.844,1.9,3.5,5.4,8.6,1.6,0.3,4.0,4.0,22.2,335,19.1,.545,.446,.245,6.0,11.9,8.9,38.0,2.3,0.8,16.4,30.0,0.4,0.1,0.5,.075,3.4,-1.4,2.0,0.3
P.J. Washington,PF,6-7,25,10,10,33.0,6.9,14.3,.483,1.7,5.2,.327,5.2,9.1,.571,.542,1.7,2.3,.739,1.3,4.2,5.5,2.1,0.4,0.6,1.3,2.6,17.2,330,14.1,.562,.364,.161,4.2,14.5,9.2,9.1,0.6,1.7,7.8,20.7,0.4,0.0,0.4,.055,-0.2,-2.3,-2.5,0.0
Gordon Hayward,SF,6-7,33,9,9,33.0,6.7,14.2,.469,1.0,2.6,.391,5.7,11.7,.486,.504,2.9,4.1,.703,1.1,4.1,5.2,5.2,1.7,0.7,1.9,2.0,17.2,294,17.6,.537,.180,.289,3.6,14.4,8.8,22.8,2.4,1.9,10.5,22.6,0.4,0.1,0.5,.081,0.8,0.0,0.9,0.2
Brandon Miller,SF,6-9,21,9,4,29.0,4.9,11.0,.444,1.1,4.0,.278,3.8,7.0,.540,.495,1.9,2.4,.773,1.4,2.8,4.2,1.6,0.4,0.6,0.9,3.2,12.8,259,11.5,.529,.364,.222,5.3,11.0,8.1,7.3,0.7,1.8,6.9,18.5,0.2,0.0,0.2,.039,-2.1,-2.2,-4.3,-0.2
Mark Williams,C,7-1,22,10,10,25.0,5.8,7.8,.744,0.0,0.0,0.0,5.8,7.8,.744,.744,2.8,4.0,.700,3.9,5.1,9.0,1.1,1.0,0.7,1.2,2.2,14.4,251,26.3,.753,.000,.513,16.4,23.2,19.7,6.5,1.9,2.5,11.2,17.7,1.0,0.1,1.2,.228,4.4,-0.9,3.6,0.4
JT Thor,PF,6-10,21,10,1,20.0,1.8,4.6,.391,0.8,2.3,.348,1.0,2.3,.435,.478,0.0,0.4,.000,1.2,2.6,3.8,0.9,0.4,0.4,0.3,1.4,4.4,199,7.9,.461,.500,.087,6.4,14.9,10.5,5.5,1.0,1.8,5.9,10.5,0.1,0.0,0.1,.015,-2.5,-1.4,-4.0,-0.1
Théo Maledon,PG,6-4,22,10,1,19.0,1.9,6.4,.297,0.5,2.9,.172,1.4,3.5,.400,.336,1.1,1.2,.917,0.4,1.9,2.3,2.3,0.7,0.0,1.4,1.7,5.4,188,4.5,.390,.453,.188,2.2,11.6,6.7,15.2,1.8,0.0,16.8,18.2,-0.4,0.0,-0.4,-0.092,-7.3,-2.1,-9.4,-0.4
Nick Richards,C,7-0,26,10,0,19.0,3.2,4.0,.800,0.0,0.0,0.0,3.2,4.0,.800,.800,2.7,3.4,.794,1.7,4.7,6.4,0.4,0.4,1.3,1.3,3.2,9.1,185,20.9,.828,.000,.850,9.7,29.0,19.0,2.9,1.0,6.4,19.1,15.1,0.5,0.2,0.7,.182,-0.4,0.8,0.4,0.1
Bryce McGowens,SG,6-7,21,5,0,16.0,1.2,2.8,.429,0.6,1.8,.333,0.6,1.0,.600,.536,0.8,1.2,.667,0.0,2.2,2.2,0.6,0.6,0.0,0.8,1.8,3.8,85,5.2,.571,.643,.429,0.0,14.8,7.1,4.2,1.7,0.0,19.4,10.0,0.0,0.0,0.0,-0.008,-5.9,-0.5,-6.3,-0.1
Ish Smith,PG,6-0,35,4,0,12.0,0.8,1.8,.429,0.0,0.0,0.0,0.8,1.8,.429,.429,0.0,0.0,0.0,0.5,1.5,2.0,1.3,0.8,0.0,1.5,1.3,1.5,50,2.9,.429,.000,.000,4.2,13.7,8.8,11.8,2.9,0.0,46.2,10.7,-0.1,0.0,-0.1,-0.102,-7.9,0.1,-7.8,-0.1
CHA,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.006029198471262043,-0.0005835667600373462,0.006029198471262043,0.0005835667600373462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
