Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Keegan Murray,SF,6-8,23,4,4,39.0,5.3,14.5,.362,2.5,9.0,.278,2.8,5.5,.500,.448,1.5,2.0,.750,2.5,4.8,7.3,2.5,1.8,1.0,1.3,3.0,14.5,142,12.5,.471,.621,.138,7.3,15.1,11.1,9.6,2.3,2.5,7.5,19.2,0.0,0.2,0.2,.067,-1.5,0.4,-1.1,0.0
Domantas Sabonis,C,6-11,27,4,4,38.0,7.0,13.3,.528,0.5,1.5,.333,6.5,11.8,.553,.547,4.5,7.0,.643,3.5,10.5,14.0,6.3,1.3,0.5,2.3,3.0,19.0,139,23.1,.582,.113,.528,10.5,34.2,21.9,26.6,1.7,1.3,12.1,21.9,0.4,0.2,0.6,.211,3.4,2.5,5.9,0.3
Harrison Barnes,PF,6-8,31,4,4,36.0,5.5,9.5,.579,2.5,5.0,.500,3.0,4.5,.667,.711,2.8,3.5,.786,0.5,2.3,2.8,1.5,0.8,0.3,0.5,1.0,16.3,133,16.8,.736,.526,.368,1.6,7.7,4.5,6.3,1.1,0.7,4.3,14.2,0.4,0.1,0.5,.181,2.5,-0.1,2.4,0.2
Kevin Huerter,SG,6-7,25,4,4,28.0,2.8,9.3,.297,1.3,5.5,.227,1.5,3.8,.400,.365,0.8,1.0,.750,1.0,4.8,5.8,2.8,0.3,0.8,0.5,2.3,7.5,103,7.7,.387,.595,.108,4.0,20.9,12.1,13.8,0.5,2.6,4.9,16.2,-0.1,0.1,0.0,.014,-3.8,-0.3,-4.0,-0.1
Malik Monk,SG,6-3,25,4,0,25.0,4.5,10.5,.429,2.5,6.3,.400,2.0,4.3,.471,.548,2.8,3.0,.917,1.3,0.8,2.0,4.5,0.0,1.3,2.3,1.5,14.3,90,19.1,.603,.595,.286,5.8,3.8,4.8,29.5,0.0,5.0,16.0,25.6,0.2,0.1,0.3,.138,5.3,-0.9,4.4,0.1
Davion Mitchell,PG,6-2,25,4,1,19.0,1.8,4.5,.389,1.0,2.8,.364,0.8,1.8,.429,.500,0.0,0.0,0.0,0.0,2.0,2.0,2.5,1.0,0.0,1.3,2.3,4.5,70,7.1,.500,.611,.000,0.0,12.9,6.2,18.4,2.7,0.0,21.7,13.5,0.0,0.1,0.0,.023,-5.9,1.8,-4.1,0.0
Sasha Vezenkov,PF,6-9,28,4,0,17.0,3.0,7.0,.429,1.5,4.5,.333,1.5,2.5,.600,.536,0.3,0.3,1.000,0.3,2.8,3.0,0.3,0.5,0.3,0.3,0.8,7.8,64,12.9,.545,.643,.036,1.6,19.5,10.2,2.3,1.5,1.4,3.4,18.8,0.0,0.1,0.1,.076,-0.8,-0.7,-1.5,0.0
Chris Duarte,SF,6-6,26,4,0,17.0,1.5,4.8,.316,0.8,2.8,.273,0.8,2.0,.375,.395,1.0,1.3,.800,0.3,1.3,1.5,1.5,0.5,0.0,0.5,3.8,4.8,62,4.7,.448,.579,.263,1.7,9.1,5.3,12.4,1.5,0.0,8.6,15.3,0.0,0.0,0.0,.024,-7.6,0.0,-7.6,-0.1
JaVale McGee,C,7-0,36,4,0,14.0,3.0,4.8,.632,0.0,0.0,0.0,3.0,4.8,.632,.632,0.3,0.8,.333,1.0,1.8,2.8,0.3,0.3,0.8,1.0,0.3,6.3,52,15.9,.615,.000,.158,8.0,15.2,11.5,3.0,0.9,5.1,16.4,19.1,0.0,0.1,0.1,.063,-1.2,-0.3,-1.4,0.0
Colby Jones,SG,6-6,21,3,0,7.0,0.7,1.3,.500,0.0,0.0,0.0,0.7,1.3,.500,.500,0.0,0.0,0.0,0.3,1.0,1.3,0.3,0.3,0.3,0.0,1.0,1.3,19,11.4,.500,.000,.000,5.5,17.9,11.4,6.8,2.5,4.7,0.0,8.6,0.0,0.0,0.0,.125,-4.6,4.2,-0.4,0.0
SAC,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.022465034965034936,-0.00964587737843553,-0.022465034965035047,0.00964587737843553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
