Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jalen Brunson,PG,6-2,27,14,14,34.0,8.4,19.1,.438,3.2,6.7,.479,5.1,12.4,.416,.522,4.3,4.9,.870,0.7,2.7,3.4,5.1,0.8,0.0,2.0,1.9,24.2,493,18.8,.570,.352,.258,2.1,9.0,5.4,24.5,1.1,0.0,8.6,27.7,1.2,0.5,1.7,.167,4.1,-0.2,3.9,0.7
Julius Randle,PF,6-8,29,14,14,33.0,6.6,17.6,.378,1.7,6.2,.276,4.9,11.4,.434,.427,4.5,6.7,.670,2.1,7.9,10.0,5.3,0.9,0.1,3.1,2.8,19.5,485,14.4,.475,.354,.382,6.2,26.7,15.9,24.1,1.2,0.4,13.0,28.6,-0.2,0.7,0.6,.057,-0.7,0.5,-0.2,0.2
Mitchell Robinson,C,7-0,25,14,14,29.0,2.9,5.1,.577,0.0,0.0,0.0,2.9,5.1,.577,.577,0.7,1.9,.385,6.1,5.5,11.6,0.5,1.4,1.2,0.7,1.9,6.6,417,17.4,.558,.000,.366,21.2,21.5,21.4,2.3,2.3,4.1,10.8,9.3,0.8,0.8,1.6,.180,0.2,0.6,0.7,0.3
RJ Barrett,SG,6-6,23,9,9,28.0,7.1,15.7,.454,2.7,5.4,.490,4.4,10.2,.435,.539,3.9,4.7,.833,0.7,3.1,3.8,2.9,0.7,0.2,2.2,1.4,20.8,266,18.3,.586,.348,.298,2.3,12.3,7.0,16.7,1.1,0.8,11.1,28.4,0.4,0.3,0.8,.136,3.0,-0.2,2.9,0.3
Josh Hart,SF,6-5,28,14,5,28.0,2.9,7.1,.414,0.9,3.1,.295,2.0,3.9,.509,.480,0.4,0.5,.714,1.1,5.1,6.1,2.6,1.0,0.3,0.9,1.8,7.1,402,10.2,.490,.444,.071,3.9,20.6,11.8,12.7,1.7,1.0,11.3,12.0,0.1,0.6,0.8,.092,-2.2,2.1,-0.1,0.2
Immanuel Quickley,SG,6-3,24,14,0,24.0,5.3,11.9,.446,1.9,5.4,.347,3.4,6.5,.527,.524,3.0,3.4,.894,0.3,3.1,3.4,3.4,0.5,0.0,1.2,2.0,15.4,346,17.7,.579,.452,.283,1.2,14.8,7.6,22.2,1.0,0.0,8.3,24.8,0.8,0.4,1.2,.170,2.4,0.6,3.0,0.4
Quentin Grimes,SG,6-5,23,12,12,24.0,2.7,6.8,.395,2.1,5.8,.362,0.6,1.0,.583,.549,0.0,0.1,.000,0.1,1.3,1.3,1.2,0.8,0.0,0.6,1.8,7.4,296,7.3,.546,.852,.012,0.4,5.9,3.0,6.6,1.7,0.0,7.9,12.6,0.1,0.3,0.5,.075,-2.8,1.2,-1.6,0.0
Donte DiVincenzo,SG,6-4,27,14,2,20.0,3.1,7.5,.419,1.9,5.1,.380,1.2,2.4,.500,.548,0.6,1.0,.643,1.0,2.1,3.1,2.0,1.0,0.4,1.1,1.6,8.9,294,13.7,.558,.676,.133,5.0,11.5,8.0,14.1,2.4,1.7,12.6,18.2,0.3,0.5,0.7,.118,0.4,1.6,2.1,0.3
Isaiah Hartenstein,C,7-0,25,14,0,15.0,2.4,4.3,.567,0.1,0.2,.333,2.4,4.1,.579,.575,1.1,1.6,.652,2.4,2.4,4.8,0.9,1.0,0.4,0.9,2.8,6.0,234,16.9,.599,.050,.383,15.1,16.5,15.7,8.2,3.0,2.6,14.6,14.8,0.4,0.4,0.9,.176,-2.1,2.0,-0.1,0.1
Miles McBride,PG,6-2,23,11,0,5.0,0.7,1.5,.471,0.4,1.2,.308,0.4,0.4,1.000,.588,0.1,0.2,.500,0.1,0.2,0.3,0.2,0.4,0.0,0.0,0.6,1.9,53,13.0,.587,.765,.118,2.0,4.4,3.1,5.6,3.8,0.0,0.0,14.2,0.1,0.1,0.2,.165,-2.5,4.2,1.7,0.0
NYK,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.009191078027097899,0.009361036639857045,0.009191078027097954,-0.00936103663985699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
