Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Anthony Davis,C,6-10,30,6,6,34.0,9.8,17.8,.551,0.5,1.2,.429,9.3,16.7,.560,.565,6.2,7.0,.881,3.7,9.3,13.0,3.2,1.2,3.7,1.5,3.5,26.3,233,28.5,.630,.065,.393,10.7,25.0,18.2,14.3,1.4,7.9,6.7,25.2,0.9,0.4,1.3,.269,5.6,1.8,7.4,0.5
D'Angelo Russell,PG,6-4,27,6,6,32.0,6.5,15.2,.429,1.8,6.7,.275,4.7,8.5,.549,.489,3.2,3.5,.905,0.3,2.8,3.2,6.5,0.7,0.3,2.2,2.8,18.0,217,14.0,.539,.440,.231,1.0,8.1,4.8,28.0,0.9,0.8,11.5,22.8,0.2,0.1,0.3,.068,0.2,-2.1,-1.9,0.0
LeBron James,PF,6-9,39,6,6,32.0,9.3,16.7,.560,2.2,6.0,.361,7.2,10.7,.672,.625,3.7,6.0,.611,0.5,8.7,9.2,6.3,1.7,0.8,4.2,1.3,24.5,214,23.2,.634,.360,.360,1.6,25.2,14.0,31.7,2.2,2.0,17.8,28.8,0.3,0.3,0.6,.137,5.6,1.4,7.1,0.5
Austin Reaves,SG,6-5,25,6,6,28.0,4.3,11.0,.394,1.2,4.0,.292,3.2,7.0,.452,.447,2.7,3.3,.800,1.2,2.8,4.0,3.2,1.5,0.2,2.5,2.2,12.5,190,10.1,.501,.364,.303,4.2,9.3,6.9,14.6,2.3,0.4,16.7,20.7,-0.2,0.2,0.0,.004,-2.7,-1.0,-3.7,-0.1
Taurean Prince,PF,6-7,29,4,4,26.0,3.5,8.5,.412,2.3,5.5,.409,1.3,3.0,.417,.544,1.3,1.5,.833,0.3,1.3,1.5,1.0,0.3,0.8,0.5,2.3,10.5,116,8.9,.573,.647,.176,1.0,4.5,2.8,4.9,0.4,2.2,5.2,14.6,0.1,0.0,0.1,.055,-0.6,-1.5,-2.0,0.0
Gabe Vincent,PG,6-3,27,4,0,25.0,2.8,7.0,.393,0.3,3.5,.071,2.5,3.5,.714,.411,0.3,0.5,.500,0.5,0.5,1.0,3.0,1.5,0.0,0.5,2.5,6.0,113,6.7,.416,.500,.071,2.0,1.8,1.9,14.7,2.5,0.0,6.5,11.9,0.0,0.1,0.0,.015,-5.1,0.6,-4.5,-0.1
Christian Wood,PF,6-10,28,6,0,20.0,2.8,5.3,.531,1.2,3.0,.389,1.7,2.3,.714,.641,1.5,2.2,.692,1.0,5.8,6.8,1.2,0.3,1.0,1.7,2.0,8.3,136,13.4,.663,.563,.406,5.0,26.7,16.4,7.4,0.7,3.7,21.0,15.3,0.1,0.2,0.3,.093,-0.4,0.0,-0.4,0.0
Cam Reddish,SF,6-8,24,6,2,16.0,1.2,4.0,.292,0.3,2.2,.154,0.8,1.8,.455,.333,0.8,1.0,.833,0.3,2.2,2.5,1.0,0.7,0.3,0.5,2.2,3.5,109,4.6,.394,.542,.250,2.1,12.4,7.5,7.3,1.8,1.5,10.1,11.9,-0.1,0.1,0.0,-0.007,-5.2,-0.3,-5.5,-0.1
Max Christie,SG,6-6,20,3,0,14.0,1.3,4.7,.286,0.3,2.3,.143,1.0,2.3,.429,.321,0.7,0.7,1.000,0.0,2.7,2.7,0.0,0.3,0.0,0.3,1.7,3.7,46,1.6,.370,.500,.143,0.0,18.1,9.4,0.0,1.0,0.0,6.3,15.1,-0.1,0.0,-0.1,-0.074,-7.9,-2.9,-10.8,-0.1
Rui Hachimura,PF,6-8,25,3,0,13.0,2.7,6.3,.421,1.0,3.0,.333,1.7,3.3,.500,.500,1.7,2.0,.833,1.3,1.7,3.0,0.3,0.3,0.3,0.3,1.7,8.0,44,16.1,.555,.474,.316,10.3,11.8,11.1,3.5,1.1,1.9,4.4,22.5,0.1,0.0,0.1,.119,0.9,-1.8,-0.9,0.0
LAL,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04112012987012992,-0.021982669591132153,-0.04112012987012981,0.021982669591132153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
