Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Paolo Banchero,PF,6-10,21,9,9,39.0,6.7,14.1,.472,0.9,2.7,.333,5.8,11.4,.505,.504,4.7,7.0,.667,1.6,5.3,6.9,5.3,1.4,0.3,3.7,2.9,18.9,305,15.8,.549,.189,.496,5.1,18.4,11.5,25.0,2.0,0.9,17.6,25.5,0.1,0.6,0.7,.102,-0.8,1.2,0.4,0.2
Franz Wagner,SF,6-9,22,9,9,39.0,6.8,16.6,.409,1.8,5.6,.320,5.0,11.0,.455,.463,3.2,3.8,.853,1.2,4.6,5.8,3.2,1.2,0.3,2.4,2.6,18.6,302,13.1,.509,.336,.228,4.0,15.9,9.8,15.4,1.7,0.9,11.8,25.5,0.0,0.5,0.5,.078,-1.8,0.1,-1.8,0.0
Jalen Suggs,SG,6-4,22,9,9,32.0,4.1,10.0,.411,1.4,4.1,.351,2.7,5.9,.453,.483,2.7,3.3,.800,1.1,3.4,4.6,2.8,2.1,0.6,1.8,2.8,12.3,248,14.6,.538,.411,.333,4.4,14.6,9.4,14.9,3.7,1.9,13.4,19.9,0.1,0.6,0.7,.134,-1.8,3.2,1.4,0.2
Cole Anthony,PG,6-2,23,9,0,27.0,4.2,9.7,.437,1.3,3.7,.364,2.9,6.0,.481,.506,3.8,4.8,.791,0.7,3.2,3.9,2.8,0.8,0.3,2.0,2.4,13.6,212,15.3,.576,.379,.494,3.1,16.0,9.4,18.2,1.6,1.3,14.5,24.2,0.2,0.4,0.6,.133,-0.7,0.8,0.1,0.1
Anthony Black,PG,6-7,20,7,3,22.0,2.4,3.7,.654,0.7,1.4,.500,1.7,2.3,.750,.750,0.7,1.0,.714,0.9,1.3,2.1,1.6,0.6,0.4,0.6,1.7,6.3,133,14.2,.757,.385,.269,5.0,7.9,6.4,11.8,1.4,2.1,12.1,10.3,0.3,0.2,0.5,.188,-0.5,2.5,2.0,0.1
Joe Ingles,SF,6-8,36,9,0,22.0,0.8,3.4,.226,0.6,2.3,.238,0.2,1.1,.200,.306,0.4,0.6,.800,0.6,2.0,2.6,3.0,0.9,0.1,0.8,1.4,2.6,169,6.4,.346,.677,.161,3.3,12.5,7.7,20.4,2.3,0.6,17.4,9.8,-0.1,0.3,0.2,.057,-5.1,2.3,-2.8,0.0
Moritz Wagner,C,6-11,26,9,0,21.0,4.9,7.6,.647,0.8,2.1,.368,4.1,5.4,.755,.699,1.8,2.2,.800,1.6,2.9,4.4,0.7,0.6,0.6,1.4,2.7,12.3,168,21.7,.723,.279,.294,9.2,18.1,13.5,6.3,1.4,2.8,14.5,22.1,0.4,0.3,0.8,.214,1.6,1.3,2.9,0.2
Goga Bitadze,C,6-11,24,7,4,17.0,2.0,3.6,.560,0.0,0.3,.000,2.0,3.3,.609,.560,1.6,2.1,.733,2.1,2.7,4.9,1.0,0.7,1.1,0.6,1.4,5.6,101,21.5,.617,.080,.600,16.4,22.0,19.1,10.1,2.4,7.5,11.2,14.6,0.3,0.3,0.5,.245,0.8,3.7,4.5,0.2
Jonathan Isaac,PF,6-11,26,7,0,14.0,1.7,5.1,.333,0.7,2.9,.250,1.0,2.3,.438,.403,1.4,1.9,.769,0.9,2.6,3.4,0.3,0.7,1.4,0.4,1.7,5.6,90,14.9,.467,.556,.361,7.3,23.4,15.1,3.2,2.7,10.5,6.7,20.6,0.0,0.3,0.3,.134,-3.6,3.0,-0.5,0.0
Caleb Houstan,SF,6-8,21,4,0,7.0,1.0,2.3,.444,0.8,2.0,.375,0.3,0.3,1.000,.611,0.3,0.3,1.000,0.0,0.8,0.8,0.3,0.0,0.0,0.0,0.3,3.0,25,13.3,.636,.889,.111,0.0,14.0,6.8,6.0,0.0,0.0,0.0,15.6,0.1,0.0,0.1,.172,2.4,0.2,2.6,0.0
ORL,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.006620795107033728,0.002732240437158473,-0.006620795107033617,-0.0027322404371585285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
