Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Luka Dončić,PG,6-7,24,12,12,36.0,10.3,20.6,.502,4.2,9.9,.420,6.2,10.7,.578,.603,5.8,7.7,.761,0.7,7.1,7.8,8.1,1.1,0.4,4.4,1.8,30.7,417,26.6,.640,.482,.372,2.1,22.2,12.2,38.2,1.5,1.0,15.6,34.3,1.3,0.4,1.7,.199,7.4,-0.3,7.1,1.0
Kyrie Irving,SG,6-2,31,9,9,33.0,8.2,17.9,.460,2.8,6.9,.403,5.4,11.0,.495,.537,3.1,3.7,.848,0.8,3.3,4.1,6.7,1.2,0.4,1.7,1.8,22.3,295,21.5,.573,.385,.205,2.6,11.1,6.8,31.0,1.8,1.1,7.9,27.1,0.8,0.2,1.0,.167,4.3,-1.0,3.4,0.4
Grant Williams,PF,6-6,25,12,12,29.0,3.8,7.9,.474,2.7,5.4,.492,1.1,2.5,.433,.642,1.0,1.6,.632,0.8,2.6,3.4,1.5,0.3,0.7,0.9,2.5,11.2,347,11.4,.648,.684,.200,3.2,9.7,6.5,6.7,0.5,1.9,9.6,13.8,0.5,0.1,0.7,.091,0.3,-1.6,-1.3,0.1
Tim Hardaway Jr.,SF,6-5,31,12,0,28.0,6.3,14.2,.441,3.8,9.3,.402,2.5,4.8,.517,.574,2.4,2.7,.906,0.3,3.6,3.9,1.7,0.3,0.0,1.0,0.8,18.7,333,17.0,.608,.659,.188,1.3,14.0,7.7,8.8,0.4,0.0,6.1,24.7,0.6,0.1,0.8,.109,3.3,-3.3,0.0,0.2
Josh Green,SG,6-5,23,12,3,27.0,2.4,6.0,.403,1.3,3.7,.341,1.2,2.3,.500,.507,0.6,1.2,.500,0.6,2.0,2.6,2.2,1.0,0.2,1.0,1.8,6.7,316,7.6,.512,.611,.194,2.4,8.3,5.4,10.1,1.8,0.5,13.3,12.0,0.0,0.2,0.2,.030,-3.7,-0.6,-4.3,-0.2
Dereck Lively II,C,7-1,19,11,10,25.0,3.9,5.4,.729,0.0,0.2,.000,3.9,5.2,.754,.729,1.3,2.0,.636,2.7,4.4,7.1,1.2,0.6,1.1,0.9,3.5,9.1,265,17.7,.728,.034,.373,12.4,19.7,16.1,6.6,1.2,3.8,12.7,12.5,0.8,0.3,1.1,.190,-0.6,-0.2,-0.8,0.1
Derrick Jones Jr.,SF,6-5,26,12,12,23.0,3.6,6.8,.524,1.5,4.1,.367,2.1,2.8,.758,.634,1.0,1.4,.706,0.9,2.6,3.5,1.2,0.6,0.8,1.0,1.3,9.7,270,14.4,.648,.598,.207,4.5,12.5,8.5,6.9,1.2,2.8,11.8,15.8,0.4,0.2,0.6,.105,0.7,-1.0,-0.3,0.1
Dwight Powell,C,6-10,32,11,1,17.0,1.8,2.5,.741,0.1,0.1,1.000,1.7,2.4,.731,.759,2.3,3.0,.758,1.9,2.2,4.1,1.5,0.4,0.7,0.3,1.8,6.0,178,20.4,.795,.037,1.222,12.9,14.7,13.8,11.3,1.1,3.7,6.7,10.5,0.9,0.1,1.0,.269,2.9,0.4,3.3,0.2
Jaden Hardy,SG,6-4,21,10,0,12.0,2.6,6.3,.413,0.9,2.9,.310,1.7,3.4,.500,.484,1.4,1.9,.737,0.2,1.4,1.6,1.3,0.3,0.0,0.6,0.9,7.5,118,14.6,.526,.460,.302,1.9,12.9,7.4,16.1,1.2,0.0,7.8,27.5,0.1,0.1,0.1,.053,-1.3,-2.8,-4.1,-0.1
Seth Curry,SG,6-1,33,9,0,10.0,1.2,2.9,.423,0.4,1.6,.286,0.8,1.3,.583,.500,0.7,0.8,.857,0.3,1.0,1.3,0.9,0.7,0.1,0.4,0.7,3.6,91,12.5,.550,.538,.269,3.6,10.7,7.2,11.2,3.1,0.9,12.1,15.3,0.1,0.1,0.2,.085,-2.6,0.6,-2.0,0.0
DAL,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.013706705969049326,0.009836978046091405,0.013706705969049437,-0.00983697804609146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
