Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Mikal Bridges,SF,6-6,27,33,33,31.0,7.5,16.4,.457,2.0,5.6,.359,5.5,10.8,.508,.519,4.1,5.0,.829,1.0,4.3,5.3,3.8,0.9,0.4,2.3,1.6,21.1,1125,16.6,.568,.341,.304,3.0,13.6,8.2,16.7,1.3,1.1,11.0,25.8,1.2,0.7,1.9,.080,0.9,-1.0,-0.1,0.5
Spencer Dinwiddie,PG,6-5,30,31,31,29.0,4.6,11.9,.391,2.0,6.4,.317,2.6,5.5,.479,.477,3.0,3.9,.767,0.7,3.4,4.1,6.5,0.9,0.2,1.6,1.8,14.3,988,14.4,.526,.541,.326,2.3,11.4,6.8,27.8,1.3,0.5,10.6,20.1,1.3,0.5,1.9,.090,0.2,-0.8,-0.6,0.4
Cam Thomas,SG,6-4,22,24,20,27.0,8.3,18.6,.448,2.1,5.7,.365,6.3,12.9,.485,.504,3.6,4.5,.806,0.3,2.3,2.6,2.3,0.6,0.4,1.7,2.2,22.4,717,15.6,.544,.307,.242,1.0,8.4,4.6,12.4,1.0,1.1,7.7,31.5,0.2,0.3,0.5,.034,-0.3,-2.4,-2.7,-0.1
Dorian Finney-Smith,PF,6-7,30,30,19,27.0,3.8,8.4,.450,2.4,5.5,.430,1.4,2.9,.488,.592,0.3,0.3,.800,2.0,3.0,5.1,1.2,0.7,0.5,0.8,2.2,10.2,881,11.7,.597,.657,.040,7.2,11.1,9.1,5.6,1.2,1.5,8.3,13.3,1.1,0.5,1.6,.086,-0.3,-0.8,-1.1,0.2
Cameron Johnson,PF,6-8,27,25,25,26.0,5.5,11.5,.479,2.5,6.1,.414,3.0,5.4,.551,.589,1.4,1.8,.773,1.3,3.6,4.9,2.4,0.8,0.1,1.0,1.9,14.9,723,15.8,.607,.528,.153,4.6,13.5,9.0,12.0,1.4,0.4,7.8,19.5,1.3,0.4,1.7,.113,1.8,-0.8,1.0,0.5
Nic Claxton,C,6-11,24,23,23,25.0,5.0,8.1,.618,0.0,0.0,1.000,5.0,8.0,.616,.621,1.7,2.8,.600,3.1,6.7,9.9,1.8,0.4,2.5,0.9,2.4,11.7,638,20.9,.629,.005,.349,11.7,26.1,18.8,9.4,0.8,7.9,8.5,15.5,1.5,0.9,2.4,.180,1.0,1.5,2.4,0.7
Royce O'Neale,SF,6-4,30,32,6,24.0,2.6,6.8,.389,2.1,5.5,.383,0.5,1.3,.415,.544,0.3,0.5,.625,0.8,3.9,4.6,3.2,0.7,0.7,0.9,2.4,7.7,824,11.1,.549,.810,.074,3.0,16.2,9.5,15.7,1.4,2.5,11.5,12.9,0.7,0.7,1.4,.081,-0.6,1.1,0.5,0.5
Keon Johnson,SG,6-5,21,1,0,19.0,3.0,8.0,.375,2.0,4.0,.500,1.0,4.0,.250,.500,4.0,4.0,1.000,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,21,16.2,.615,.500,.500,0.0,5.1,2.5,6.4,2.3,4.2,9.3,21.6,0.0,0.0,0.1,.124,0.3,-1.0,-0.7,0.0
Dennis Smith Jr.,PG,6-2,26,19,1,17.0,2.7,6.7,.409,0.5,1.8,.257,2.3,4.8,.467,.445,1.0,1.2,.826,0.7,2.3,3.0,3.7,0.9,0.2,1.1,2.4,6.9,353,12.4,.481,.276,.181,4.1,13.1,8.5,27.3,2.4,0.8,13.3,18.9,0.1,0.3,0.4,.060,-3.4,0.9,-2.5,0.0
Day'Ron Sharpe,C,6-11,22,33,1,15.0,2.9,5.1,.575,0.0,0.2,.143,2.9,4.8,.594,.578,1.3,2.2,.595,2.8,4.2,6.9,1.4,0.5,0.9,1.1,2.3,7.2,529,20.6,.594,.042,.443,18.1,27.8,22.9,12.4,1.4,4.9,14.9,18.7,1.0,0.7,1.8,.160,-0.3,0.5,0.3,0.3
BKN,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01536216617308972,-0.01412235689639918,-0.01536216617308972,0.01412235689639918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
