Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Tyrese Haliburton,PG,6-5,23,3,3,34.0,7.3,16.0,.458,2.3,7.0,.333,5.0,9.0,.556,.531,3.0,3.3,.900,0.7,4.7,5.3,12.3,1.0,0.7,2.7,1.3,20.0,95,24.9,.573,.438,.208,2.2,15.1,8.6,52.8,1.5,1.5,13.2,26.0,0.3,0.0,0.3,.162,6.0,-1.0,5.0,0.2
Bruce Brown,PG,6-4,27,4,4,30.0,4.5,9.3,.486,2.3,4.5,.500,2.3,4.8,.474,.608,0.8,1.0,.750,0.8,3.0,3.8,1.3,1.0,0.0,1.0,2.3,12.0,117,11.5,.619,.486,.108,2.6,10.5,6.6,5.2,1.6,0.0,9.4,15.0,0.1,0.0,0.1,.033,-2.8,-2.5,-5.3,-0.1
Myles Turner,C,6-11,27,4,4,27.0,5.5,12.0,.458,1.0,4.5,.222,4.5,7.5,.600,.500,2.8,3.8,.733,1.0,8.0,9.0,2.0,0.3,2.0,1.5,3.0,14.8,106,16.8,.540,.375,.313,3.9,31.0,17.4,9.9,0.4,5.4,9.9,23.4,0.1,0.1,0.1,.048,-1.8,-1.2,-3.0,0.0
Aaron Nesmith,SF,6-5,24,4,0,26.0,4.3,8.5,.500,2.0,5.5,.364,2.3,3.0,.750,.618,1.3,1.8,.714,1.5,3.3,4.8,1.3,0.0,0.8,0.3,3.5,11.8,99,14.9,.634,.647,.206,6.2,13.5,9.9,6.3,0.0,2.2,2.6,15.7,0.3,0.0,0.2,.103,0.2,-3.1,-2.9,0.0
Andrew Nembhard,SG,6-5,24,4,1,23.0,4.3,9.5,.447,0.3,3.5,.071,4.0,6.0,.667,.461,0.3,0.5,.500,0.3,2.0,2.3,4.3,1.0,0.0,2.0,3.0,9.0,88,8.8,.463,.368,.053,1.2,9.3,5.3,24.9,2.1,0.0,17.1,21.8,-0.1,0.0,-0.1,-0.074,-6.4,-2.5,-8.9,-0.2
Buddy Hield,SF,6-4,31,4,0,22.0,4.0,10.3,.390,2.5,6.5,.385,1.5,3.8,.400,.512,0.0,0.0,0.0,1.0,2.0,3.0,4.5,0.5,0.5,1.3,1.0,10.5,87,15.0,.512,.634,.000,4.7,9.4,7.1,26.4,1.1,1.6,10.9,21.6,0.1,0.0,0.0,.025,2.0,-3.1,-1.1,0.0
Bennedict Mathurin,SG,6-6,21,4,4,22.0,4.8,10.8,.442,1.0,4.0,.250,3.8,6.8,.556,.488,3.0,3.3,.923,0.3,2.0,2.3,1.5,0.5,0.0,1.0,1.8,13.5,86,14.1,.554,.372,.302,1.2,9.6,5.4,9.3,1.1,0.0,7.6,25.1,0.1,0.0,0.0,.022,-2.8,-4.0,-6.8,-0.1
Obi Toppin,PF,6-9,25,4,4,22.0,3.3,6.3,.520,0.5,2.3,.222,2.8,4.0,.688,.560,1.0,1.3,.800,1.8,2.8,4.5,0.5,1.0,0.3,0.5,0.8,8.0,86,14.4,.588,.360,.200,8.4,13.1,10.7,2.8,2.1,0.8,6.8,13.9,0.1,0.0,0.1,.071,-1.5,-3.0,-4.5,-0.1
T.J. McConnell,PG,6-1,31,3,0,18.0,4.3,6.7,.650,0.0,0.3,.000,4.3,6.3,.684,.650,1.3,1.3,1.000,1.0,2.3,3.3,5.0,1.0,0.0,0.3,1.0,10.0,53,28.5,.689,.050,.200,5.8,13.6,9.7,39.1,2.6,0.0,4.4,17.6,0.3,0.0,0.3,.284,5.4,0.1,5.6,0.1
Jalen Smith,C,6-10,23,3,0,16.0,4.7,6.7,.700,1.3,2.3,.571,3.3,4.3,.769,.800,0.7,1.0,.667,1.7,3.7,5.3,1.0,0.7,0.3,0.7,3.0,11.3,48,27.4,.797,.350,.150,10.7,23.5,17.1,9.2,1.9,1.5,8.6,19.9,0.2,0.0,0.2,.233,4.7,-0.2,4.5,0.1
IND,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.015368228849665266,0.046441947565543096,0.015368228849665266,-0.04644194756554304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
