Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Brandon Ingram,SF,6-8,26,7,7,35.0,9.3,19.0,.489,1.0,4.7,.212,8.3,14.3,.580,.515,3.0,4.1,.724,0.6,4.7,5.3,4.7,0.4,0.3,3.3,2.0,22.6,236,15.8,.542,.248,.218,1.7,14.5,8.1,25.2,0.6,0.8,13.6,30.3,-0.1,0.1,0.0,.009,0.5,-1.9,-1.4,0.0
Zion Williamson,PF,6-6,23,8,8,33.0,8.6,16.8,.515,0.0,0.1,.000,8.6,16.6,.519,.515,4.4,7.1,.614,2.9,3.6,6.5,4.1,0.8,0.1,2.9,2.8,21.6,252,18.9,.544,.007,.425,9.4,12.0,10.7,23.5,1.1,0.4,12.6,30.6,0.2,0.1,0.3,.058,1.3,-1.7,-0.4,0.1
Jordan Hawkins,SG,6-5,21,10,7,30.0,4.1,11.3,.363,2.7,7.7,.351,1.4,3.6,.389,.482,1.7,2.1,.810,0.7,3.1,3.8,1.6,0.8,0.0,1.3,2.2,12.6,290,9.4,.515,.681,.186,2.5,11.1,6.8,8.0,1.3,0.0,9.6,19.8,-0.1,0.1,0.1,.012,-2.1,-1.8,-3.9,-0.1
Dyson Daniels,PG,6-8,20,10,3,27.0,3.2,6.9,.464,1.0,2.9,.345,2.2,4.0,.550,.536,0.9,1.6,.563,1.2,3.9,5.1,3.0,1.2,0.5,1.6,1.7,8.3,261,12.4,.546,.420,.232,4.7,15.5,10.1,16.2,2.2,1.8,17.4,14.9,0.1,0.2,0.3,.058,-1.3,1.0,-0.3,0.1
Jonas Valančiūnas,C,6-11,31,10,10,25.0,4.8,9.5,.505,1.0,2.3,.435,3.8,7.2,.528,.558,1.7,2.0,.850,1.9,6.8,8.7,1.8,0.2,1.5,1.6,2.7,12.3,243,18.2,.592,.242,.211,8.0,29.1,18.5,11.7,0.4,5.7,13.4,20.9,0.3,0.3,0.6,.116,0.1,0.2,0.3,0.1
Matt Ryan,SF,6-7,26,10,1,24.0,3.0,6.4,.469,2.4,5.4,.444,0.6,1.0,.600,.656,1.2,1.2,1.000,0.5,2.0,2.5,1.3,0.3,0.1,1.3,2.3,9.6,233,10.9,.693,.844,.188,2.2,8.9,5.5,7.9,0.6,0.4,15.8,15.0,0.3,0.1,0.4,.075,-0.5,-1.8,-2.3,0.0
Jeremiah Robinson-Earl,PF,6-9,23,3,1,22.0,3.0,5.7,.529,1.7,2.7,.625,1.3,3.0,.444,.676,1.3,1.3,1.000,1.3,3.7,5.0,0.7,0.3,0.0,1.0,1.7,9.0,63,14.7,.720,.471,.235,6.5,18.1,12.3,4.6,0.8,0.0,13.8,14.6,0.1,0.0,0.2,.127,1.2,-1.1,0.1,0.0
Larry Nance Jr.,C,6-7,31,10,0,16.0,1.6,3.3,.485,0.3,0.9,.333,1.3,2.4,.542,.530,0.3,0.6,.500,1.3,3.1,4.4,0.8,0.5,0.1,0.9,1.4,3.8,157,9.5,.533,.273,.182,8.5,20.5,14.5,7.0,1.5,0.6,20.2,12.1,0.0,0.1,0.1,.037,-3.6,-0.6,-4.2,-0.1
Naji Marshall,SF,6-7,26,1,0,15.0,2.0,3.0,.667,1.0,1.0,1.000,1.0,2.0,.500,.833,3.0,3.0,1.000,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,8.0,14,18.4,.926,.333,1.000,7.3,7.4,7.4,20.8,0.0,0.0,31.6,19.1,0.1,0.0,0.1,.180,0.6,-0.8,-0.2,0.0
Kira Lewis Jr.,PG,6-1,22,9,0,13.0,1.3,4.3,.308,0.1,1.4,.077,1.2,2.9,.423,.321,0.9,1.0,.889,0.3,0.8,1.1,1.8,0.4,0.1,0.6,0.8,3.7,113,7.0,.384,.333,.231,2.7,6.4,4.6,19.5,1.7,0.8,10.4,18.0,-0.2,0.0,-0.1,-0.045,-5.6,-1.4,-7.0,-0.1
NOP,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.034152253668763066,-0.008753305769732211,-0.03415225366876301,0.008753305769732156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
