Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Cade Cunningham,PG,6-6,22,15,15,32.0,7.9,19.6,.405,1.9,6.0,.322,6.0,13.6,.441,.454,3.6,4.1,.871,0.6,3.1,3.7,7.3,0.8,0.3,4.8,3.2,21.4,533,11.0,.500,.306,.211,1.9,9.4,5.7,32.5,1.1,0.6,18.3,30.8,-0.7,0.2,-0.5,-0.042,-1.8,-3.1,-4.9,-0.4
Isaiah Stewart,PF,6-8,22,15,15,28.0,4.4,9.5,.465,1.6,3.9,.414,2.8,5.6,.500,.549,1.5,1.9,.759,1.9,5.5,7.5,1.5,0.1,0.8,1.9,2.7,11.9,482,10.4,.575,.408,.204,6.6,18.8,12.7,6.4,0.2,2.0,15.3,15.8,0.1,0.3,0.4,.043,-1.9,-1.2,-3.1,-0.1
Ausar Thompson,SF,6-7,21,15,15,27.0,4.5,10.3,.439,0.3,1.9,.138,4.3,8.4,.508,.452,2.0,2.9,.698,3.7,6.3,10.1,3.2,1.1,1.7,2.4,3.7,11.3,457,14.5,.489,.187,.277,13.5,22.7,18.1,14.9,1.8,4.6,17.1,19.1,-0.1,0.6,0.5,.057,-2.2,1.1,-1.2,0.1
Jalen Duren,C,6-10,20,8,8,26.0,5.8,9.3,.622,0.0,0.1,.000,5.8,9.1,.630,.622,1.1,1.5,.750,3.5,7.1,10.6,3.1,0.6,1.1,2.8,3.5,12.6,231,17.7,.637,.014,.162,13.3,27.0,20.2,16.6,1.0,3.2,21.7,18.3,0.2,0.3,0.5,.105,-0.4,1.5,1.1,0.2
Killian Hayes,PG,6-5,22,14,13,25.0,3.6,9.1,.391,1.0,3.3,.304,2.6,5.9,.439,.445,1.3,1.7,.750,0.3,2.5,2.8,4.4,1.3,0.6,0.9,2.2,9.4,394,11.0,.476,.359,.188,1.1,9.7,5.4,21.3,2.2,1.6,8.6,16.0,0.2,0.3,0.5,.058,-2.4,1.1,-1.3,0.1
Kevin Knox,SF,6-7,24,4,2,24.0,4.8,9.3,.514,2.0,4.5,.444,2.8,4.8,.579,.622,0.3,0.5,.500,1.3,4.0,5.3,0.8,1.0,0.3,1.0,2.8,11.8,110,12.8,.620,.486,.054,5.0,15.9,10.5,4.0,1.8,0.7,9.6,15.9,0.1,0.1,0.2,.083,-0.3,-0.8,-1.1,0.0
Alec Burks,SG,6-6,32,9,0,21.0,3.6,9.6,.372,2.6,6.3,.404,1.0,3.2,.310,.506,3.6,4.2,.842,0.7,2.4,3.1,2.4,0.4,0.3,0.3,2.0,13.2,209,16.7,.579,.663,.442,3.2,11.5,7.3,15.0,0.9,1.2,2.8,21.1,0.6,0.1,0.7,.162,3.0,-0.5,2.5,0.2
Isaiah Livers,PF,6-7,25,1,0,20.0,1.0,7.0,.143,0.0,3.0,.000,1.0,4.0,.250,.143,4.0,4.0,1.000,2.0,2.0,4.0,1.0,0.0,0.0,2.0,2.0,6.0,23,0.3,.342,.429,.571,9.6,9.5,9.5,5.4,0.0,0.0,18.6,19.5,-0.1,0.0,-0.1,-0.138,-8.5,-4.0,-12.5,-0.1
Jaden Ivey,SG,6-4,21,11,2,20.0,4.2,8.0,.523,1.1,3.1,.353,3.1,4.9,.630,.591,1.9,2.4,.808,0.8,1.8,2.6,2.9,0.7,0.3,2.2,2.5,11.4,244,14.1,.629,.386,.295,4.1,9.0,6.5,19.7,1.6,1.0,19.4,21.1,0.2,0.1,0.3,.068,-0.5,-0.6,-1.1,0.1
Marvin Bagley III,C,6-10,24,15,5,17.0,4.3,7.3,.591,0.1,0.3,.200,4.3,7.0,.610,.595,2.5,2.8,.905,1.8,3.3,5.1,1.3,0.1,0.5,1.3,1.7,11.3,293,19.2,.658,.045,.382,10.1,18.6,14.4,10.8,0.2,2.2,13.5,21.1,0.7,0.2,0.9,.143,1.2,-1.1,0.1,0.2
DET,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.014055706599671924,0.01468579640604778,-0.014055706599671813,-0.014685796406047724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
