Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Scottie Barnes,SG,6-7,22,15,15,34.0,7.4,15.7,.472,1.9,5.1,.382,5.5,10.6,.516,.534,2.9,3.9,.759,2.5,6.5,9.1,5.7,1.7,1.3,2.7,2.0,19.7,520,20.7,.566,.323,.247,7.9,21.0,14.3,25.2,2.4,3.2,13.3,24.4,0.7,0.9,1.6,.149,3.5,2.4,5.9,1.0
Pascal Siakam,PF,6-8,29,15,15,33.0,7.9,15.9,.498,0.9,3.9,.241,7.0,12.1,.580,.527,3.5,4.8,.722,1.4,5.6,7.0,5.1,0.7,0.2,2.5,2.3,20.3,506,17.0,.562,.243,.301,4.5,18.5,11.3,23.7,1.0,0.5,12.3,25.8,0.5,0.6,1.1,.101,0.7,0.0,0.7,0.4
OG Anunoby,SF,6-7,26,11,11,31.0,5.5,11.7,.473,2.5,6.5,.380,3.1,5.3,.586,.578,1.4,2.1,.652,0.7,3.1,3.8,2.3,1.2,0.7,1.8,2.2,14.9,344,13.0,.589,.550,.178,2.5,11.0,6.7,10.5,1.8,2.1,12.6,19.5,0.1,0.4,0.6,.078,-0.4,0.5,0.2,0.2
Dennis Schröder,PG,6-3,30,15,15,30.0,6.1,13.1,.462,1.9,5.0,.387,4.1,8.1,.508,.536,2.8,3.3,.857,0.5,2.5,3.1,6.7,0.9,0.1,1.9,1.7,16.9,466,17.2,.579,.381,.249,1.8,9.1,5.4,32.2,1.4,0.4,11.7,22.4,0.9,0.4,1.3,.139,1.8,-0.3,1.4,0.4
Gary Trent Jr.,SG,6-5,25,12,2,26.0,3.7,9.7,.379,1.9,5.0,.383,1.8,4.7,.375,.478,1.3,2.3,.556,0.3,1.7,2.0,1.1,0.9,0.2,0.8,1.1,10.5,320,7.9,.493,.517,.233,1.3,7.0,4.1,5.6,1.7,0.6,7.3,18.2,-0.2,0.3,0.1,.017,-3.7,-0.4,-4.1,-0.2
Jakob Poeltl,C,7-1,28,15,15,25.0,4.9,6.9,.702,0.0,0.0,0.0,4.9,6.9,.702,.702,0.9,1.7,.500,2.6,5.5,8.1,2.3,0.8,1.0,1.9,2.7,10.6,385,18.1,.689,.000,.250,10.9,24.0,17.3,13.4,1.5,3.5,19.5,15.7,0.6,0.6,1.2,.151,-0.6,1.8,1.2,0.3
Malachi Flynn,PG,6-1,25,15,0,17.0,2.3,4.9,.473,1.1,2.7,.400,1.3,2.3,.559,.581,0.5,0.8,.667,0.5,1.5,2.0,2.4,0.8,0.2,1.1,1.5,6.3,259,12.3,.593,.541,.162,3.3,9.5,6.3,19.0,2.2,1.0,16.8,15.5,0.2,0.3,0.5,.095,-1.7,1.0,-0.7,0.1
Chris Boucher,PF,6-9,31,13,0,16.0,2.2,4.9,.453,0.8,1.8,.417,1.5,3.1,.475,.531,1.8,2.2,.828,1.5,3.3,4.8,0.5,0.2,0.7,0.5,2.4,7.1,213,15.0,.599,.375,.453,9.6,22.5,15.9,3.8,0.7,3.7,7.2,16.4,0.4,0.3,0.7,.157,-1.6,-0.4,-2.0,0.0
Gradey Dick,SG,6-6,20,14,1,15.0,1.2,4.5,.270,0.7,2.9,.244,0.5,1.6,.318,.349,0.9,0.9,1.000,0.5,1.0,1.5,1.1,0.3,0.0,0.8,1.6,4.0,211,2.9,.410,.651,.190,3.6,7.4,5.4,9.0,0.9,0.0,13.9,15.9,-0.3,0.2,-0.2,-0.035,-7.3,-1.9,-9.1,-0.4
Otto Porter Jr.,SF,6-8,30,8,1,13.0,1.3,2.8,.455,0.9,1.9,.467,0.4,0.9,.429,.614,0.1,0.1,1.000,0.6,2.0,2.6,0.1,0.4,0.4,0.1,1.3,3.5,105,10.3,.624,.682,.045,5.1,17.0,10.9,1.2,1.4,2.5,4.3,9.4,0.1,0.1,0.3,.117,-2.3,0.2,-2.1,0.0
TOR,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.011560334765440716,-0.0014896137026239598,0.011560334765440605,0.0014896137026239042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
