Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Fred VanVleet,PG,6-1,29,7,7,36.0,5.3,14.6,.363,3.0,8.3,.362,2.3,6.3,.364,.466,2.0,2.1,.933,0.1,3.6,3.7,8.4,0.6,0.3,1.7,2.1,15.6,242,14.4,.502,.569,.147,0.5,11.1,6.0,34.1,0.8,0.8,10.0,22.1,0.3,0.3,0.6,.114,1.0,-1.4,-0.4,0.1
Dillon Brooks,SG,6-7,28,7,7,33.0,5.3,9.3,.569,2.0,3.7,.538,3.3,5.6,.590,.677,2.1,2.3,.938,0.6,4.0,4.6,2.0,1.1,0.0,2.1,3.1,14.7,228,14.2,.715,.400,.246,2.1,13.3,7.9,8.7,1.7,0.0,17.2,17.0,0.4,0.3,0.7,.138,-0.9,0.1,-0.8,0.1
Jalen Green,SG,6-4,21,7,7,32.0,6.6,14.3,.460,2.1,4.7,.455,4.4,9.6,.463,.535,4.3,6.0,.714,0.6,3.7,4.3,2.6,0.7,0.4,2.6,1.7,19.6,219,15.7,.578,.330,.420,2.1,12.8,7.7,12.5,1.1,1.3,13.2,27.7,0.1,0.3,0.4,.084,0.0,-1.6,-1.6,0.0
Alperen Şengün,C,6-9,21,7,7,31.0,7.9,13.1,.598,0.6,1.7,.333,7.3,11.4,.638,.620,2.0,3.3,.609,2.1,6.1,8.3,6.6,0.9,0.1,1.7,2.9,18.3,215,24.8,.627,.130,.250,8.2,21.6,15.2,34.9,1.4,0.5,10.5,23.6,0.8,0.3,1.2,.260,5.1,1.9,7.0,0.5
Jabari Smith Jr.,PF,6-10,20,7,7,31.0,5.6,11.1,.500,2.1,5.4,.395,3.4,5.7,.600,.596,0.6,1.1,.500,1.6,5.4,7.0,1.4,0.7,0.4,1.1,3.7,13.9,210,14.4,.595,.487,.103,6.1,19.5,13.1,7.0,1.2,1.4,8.9,18.9,0.2,0.3,0.6,.127,-0.5,-0.5,-0.9,0.1
Jae'Sean Tate,SF,6-4,28,7,0,20.0,2.7,5.1,.528,1.3,2.7,.474,1.4,2.4,.588,.653,0.6,0.7,.800,0.7,2.9,3.6,1.3,1.1,0.6,0.3,2.4,7.3,138,16.6,.668,.528,.139,4.2,15.6,10.2,8.9,2.9,2.8,5.0,12.9,0.3,0.3,0.6,.205,0.7,2.6,3.3,0.2
Aaron Holiday,PG,6-0,27,5,0,16.0,2.2,4.2,.524,0.6,1.4,.429,1.6,2.8,.571,.595,0.2,0.2,1.000,0.2,1.6,1.8,1.0,0.2,0.0,0.8,1.2,5.2,79,8.6,.606,.333,.048,1.5,10.9,6.4,8.7,0.6,0.0,15.7,14.3,0.0,0.1,0.1,.060,-4.2,-1.0,-5.2,-0.1
Tari Eason,PF,6-8,22,1,0,14.0,4.0,10.0,.400,1.0,2.0,.500,3.0,8.0,.375,.450,0.0,0.0,0.0,4.0,5.0,9.0,2.0,0.0,1.0,2.0,1.0,9.0,14,22.8,.450,.200,.000,33.5,38.5,36.1,24.5,0.0,7.0,16.7,38.1,0.0,0.0,0.0,.045,0.1,-1.8,-1.7,0.0
Jock Landale,C,6-11,28,5,0,14.0,1.0,3.2,.313,0.4,1.8,.222,0.6,1.4,.429,.375,0.4,0.4,1.000,1.2,1.2,2.4,1.4,0.6,0.4,1.0,1.0,2.8,68,8.2,.415,.563,.125,10.3,9.5,9.9,13.0,2.2,2.9,22.9,14.3,-0.1,0.1,0.0,.028,-4.0,-0.1,-4.2,0.0
Jeff Green,PF,6-8,37,7,0,13.0,2.3,3.7,.615,0.3,0.7,.400,2.0,3.0,.667,.654,1.6,2.4,.647,1.3,1.7,3.0,0.6,0.1,0.1,0.6,1.1,6.4,90,18.4,.672,.192,.654,11.7,14.4,13.1,6.4,0.6,1.1,10.7,18.5,0.3,0.1,0.4,.195,0.9,-1.5,-0.5,0.0
HOU,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.012915570437694313,0.06024955436720142,0.012915570437694313,-0.06024955436720142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
