Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Devin Vassell,SG,6-5,23,4,4,35.0,7.3,14.3,.509,2.0,6.0,.333,5.3,8.3,.636,.579,3.5,4.8,.737,0.5,3.3,3.8,2.5,1.5,0.0,2.0,1.0,20.0,139,16.1,.612,.421,.333,1.6,11.1,6.2,11.4,2.0,0.0,10.9,22.3,0.2,0.0,0.2,.074,0.1,-1.9,-1.7,0.0
Keldon Johnson,SF,6-5,24,4,4,31.0,6.5,14.5,.448,2.3,6.0,.375,4.3,8.5,.500,.526,2.0,2.8,.727,1.3,4.0,5.3,4.0,0.8,0.3,1.5,3.5,17.3,124,15.3,.549,.414,.190,4.5,15.3,9.7,20.6,1.1,0.7,8.7,23.4,0.2,0.0,0.2,.070,0.4,-2.2,-1.7,0.0
Zach Collins,C,6-11,26,4,4,31.0,5.0,11.0,.455,0.5,4.5,.111,4.5,6.5,.692,.477,1.0,1.5,.667,0.8,4.8,5.5,4.8,1.5,1.3,3.5,3.5,11.5,123,10.2,.493,.409,.136,2.7,18.3,10.2,22.9,2.3,3.8,23.1,20.8,-0.2,0.1,-0.1,-0.035,-4.5,0.4,-4.1,-0.1
Victor Wembanyama,PF,7-4,20,4,4,27.0,5.8,12.5,.460,1.3,4.8,.263,4.5,7.8,.581,.510,3.5,5.0,.700,2.3,5.3,7.5,1.5,1.5,2.3,4.8,2.8,16.3,109,14.9,.553,.380,.400,9.1,22.9,15.8,8.8,2.6,7.6,24.4,30.1,-0.2,0.1,-0.1,-0.044,-4.2,-0.5,-4.8,-0.1
Jeremy Sochan,PF,6-9,20,4,4,27.0,3.0,7.8,.387,0.5,2.0,.250,2.5,5.8,.435,.419,2.3,3.3,.692,1.8,4.3,6.0,4.3,1.0,0.3,2.3,3.8,8.8,108,10.0,.477,.258,.419,7.2,18.7,12.7,21.7,1.7,0.9,19.7,17.9,0.0,0.1,0.0,.010,-4.4,-1.0,-5.4,-0.1
Tre Jones,PG,6-1,24,4,0,26.0,3.0,5.8,.522,0.8,2.3,.333,2.3,3.5,.643,.587,2.5,2.5,1.000,1.0,2.8,3.8,5.3,1.0,0.3,1.3,0.8,9.3,102,18.0,.675,.391,.435,4.3,12.8,8.4,28.6,1.8,0.9,15.4,13.4,0.3,0.0,0.4,.166,1.6,-0.3,1.3,0.1
Cedi Osman,SF,6-7,28,4,0,20.0,4.5,7.8,.581,2.3,4.5,.500,2.3,3.3,.692,.726,0.5,0.8,.667,0.0,1.3,1.3,1.3,0.5,0.5,0.8,1.0,11.8,81,17.9,.727,.581,.097,0.0,7.3,3.5,10.0,1.1,2.3,8.5,18.4,0.2,0.0,0.2,.117,3.7,-1.5,2.3,0.1
Malaki Branham,SG,6-5,20,4,0,16.0,2.8,8.3,.333,1.0,3.0,.333,1.8,5.3,.333,.394,0.5,0.5,1.000,0.0,1.3,1.3,2.0,0.8,0.0,1.5,0.5,7.0,62,5.8,.413,.364,.061,0.0,9.6,4.6,19.5,2.3,0.0,15.0,27.1,-0.2,0.0,-0.2,-0.152,-5.4,-3.4,-8.7,-0.1
Doug McDermott,SF,6-7,32,4,0,14.0,2.0,3.8,.533,1.5,2.8,.545,0.5,1.0,.500,.733,0.0,0.0,0.0,0.0,1.3,1.3,1.0,0.3,0.3,0.0,1.3,5.5,57,13.6,.733,.733,.000,0.0,10.4,5.0,10.1,0.8,1.6,0.0,11.1,0.1,0.0,0.1,.126,1.9,-0.9,1.0,0.0
Charles Bassey,C,6-11,23,4,0,13.0,1.3,1.8,.714,0.0,0.0,0.0,1.3,1.8,.714,.714,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.5,0.5,0.5,1.8,2.5,52,12.8,.714,.000,.000,8.5,27.4,17.6,10.4,1.8,3.6,22.2,7.3,0.1,0.0,0.1,.114,-2.4,0.6,-1.8,0.0
SAS,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.012269501407593641,0.009532263044149392,-0.012269501407593753,-0.009532263044149392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
