Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kevin Durant,PF,6-10,35,10,10,41.0,10.1,20.3,.498,1.8,4.2,.429,8.3,16.1,.516,.542,8.0,9.4,.851,0.5,6.6,7.1,4.6,0.9,1.2,4.1,1.6,30.0,367,22.8,.614,.207,.463,1.6,19.2,10.7,23.4,1.2,2.7,14.4,32.9,0.7,0.4,1.2,.153,3.8,0.0,3.8,0.5
Grayson Allen,SG,6-4,28,10,10,35.0,4.3,9.2,.467,2.7,5.6,.482,1.6,3.6,.444,.614,0.9,0.9,1.000,1.2,4.1,5.3,2.9,0.5,0.4,1.8,2.5,12.2,314,12.3,.636,.609,.098,4.4,13.9,9.3,13.7,0.8,1.1,15.8,15.4,0.4,0.2,0.6,.099,-0.9,-1.1,-2.0,0.0
Jusuf Nurkić,C,6-11,29,10,10,31.0,3.3,8.4,.393,0.7,2.9,.241,2.6,5.5,.473,.435,2.8,4.0,.700,2.9,6.3,9.2,4.6,1.4,1.0,2.1,3.4,10.1,274,16.4,.497,.345,.476,12.0,24.6,18.5,24.3,2.5,3.0,17.1,18.9,0.2,0.5,0.7,.123,-1.5,2.1,0.5,0.2
Josh Okogie,SG,6-4,25,10,6,27.0,2.3,5.6,.411,0.4,2.3,.174,1.9,3.3,.576,.446,2.6,2.9,.897,1.9,1.6,3.5,1.2,0.8,0.5,0.9,1.2,7.6,237,12.0,.553,.411,.518,9.1,7.2,8.1,7.1,1.6,1.8,11.6,13.9,0.3,0.2,0.5,.101,-2.4,-0.4,-2.8,0.0
Keita Bates-Diop,SF,6-8,28,7,4,25.0,2.6,6.0,.429,0.9,2.6,.333,1.7,3.4,.500,.500,0.7,1.3,.556,1.3,3.0,4.3,1.3,0.6,0.9,0.1,1.0,6.7,155,12.6,.511,.429,.214,6.6,14.5,10.7,8.4,1.3,3.2,2.1,12.8,0.2,0.2,0.4,.110,-1.4,-0.4,-1.8,0.0
Yuta Watanabe,SF,6-9,29,10,0,21.0,1.9,4.6,.413,1.4,3.7,.378,0.5,0.9,.556,.565,0.6,0.7,.857,0.6,2.2,2.8,0.5,0.4,0.3,1.0,1.9,5.8,191,7.4,.591,.804,.152,3.6,12.3,8.1,3.7,1.0,1.3,16.9,13.1,0.0,0.2,0.2,.043,-4.4,-1.4,-5.8,-0.2
Drew Eubanks,C,6-9,26,10,0,21.0,2.9,4.6,.630,0.0,0.0,0.0,2.9,4.6,.630,.630,1.5,1.9,.789,1.6,3.5,5.1,2.0,0.3,1.5,1.4,2.1,7.3,186,18.0,.671,.000,.413,9.8,20.1,15.1,16.4,0.8,6.7,20.5,15.6,0.3,0.3,0.6,.158,-1.6,2.0,0.4,0.1
Jordan Goodwin,PG,6-3,25,10,0,21.0,2.4,7.3,.329,1.3,3.8,.342,1.1,3.5,.314,.418,1.0,1.3,.769,1.1,2.8,3.9,1.9,1.0,0.4,1.0,1.2,7.1,183,11.8,.451,.521,.178,6.8,16.3,11.7,15.3,2.7,1.8,11.3,20.5,-0.1,0.3,0.2,.047,-2.5,0.6,-1.9,0.0
Nassir Little,PF,6-5,23,5,0,13.0,1.2,2.8,.429,0.6,2.0,.300,0.6,0.8,.750,.536,0.8,0.8,1.000,0.2,1.2,1.4,0.2,1.0,0.2,0.4,1.6,3.8,58,11.1,.603,.714,.286,2.0,11.1,6.7,2.4,4.2,1.4,11.3,13.0,0.0,0.1,0.1,.113,-4.6,2.1,-2.6,0.0
Udoka Azubuike,C,6-10,24,2,0,5.0,0.5,0.5,1.000,0.0,0.0,0.0,0.5,0.5,1.000,1.000,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.5,1.0,9,11.9,1.000,.000,.000,0.0,47.5,24.5,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,.158,-2.5,-0.6,-3.2,0.0
PHX,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02732659107161095,0.028735632183908066,-0.02732659107161095,-0.028735632183908066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
