Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Shai Gilgeous-Alexander,PG,6-6,25,7,7,36.0,10.6,20.7,.510,1.3,4.0,.321,9.3,16.7,.556,.541,5.7,6.3,.909,0.9,6.1,7.0,6.4,2.3,0.6,2.6,2.3,28.1,246,27.0,.599,.193,.303,2.9,17.3,10.8,30.9,3.1,1.4,9.9,31.7,0.7,0.3,1.1,.206,4.5,1.5,6.0,0.5
Jalen Williams,SG,6-6,22,8,8,34.0,6.1,12.0,.510,1.0,2.9,.348,5.1,9.1,.562,.552,3.5,4.0,.875,0.4,4.1,4.5,4.1,0.6,0.4,2.3,3.3,16.8,268,14.4,.609,.240,.333,1.3,12.2,7.3,17.3,0.9,1.0,14.1,20.5,0.4,0.1,0.5,.090,-0.9,-1.2,-2.1,0.0
Luguentz Dort,SF,6-3,24,8,8,31.0,4.9,9.1,.534,2.6,5.0,.525,2.3,4.1,.545,.678,2.8,3.4,.815,1.3,3.3,4.5,1.3,1.1,1.1,1.3,2.6,15.1,245,17.5,.713,.548,.370,4.9,10.5,8.0,5.6,1.7,3.1,10.5,16.6,0.6,0.2,0.8,.161,2.6,-0.1,2.5,0.3
Chet Holmgren,PF,7-0,21,8,8,30.0,5.8,10.0,.575,1.9,3.4,.556,3.9,6.6,.585,.669,3.4,3.8,.900,1.9,6.0,7.9,2.6,1.0,2.5,2.0,3.5,16.8,238,23.1,.719,.338,.375,7.6,19.9,14.3,12.6,1.6,7.2,14.7,19.6,0.8,0.3,1.1,.220,3.6,2.1,5.7,0.5
Josh Giddey,PF,6-8,21,8,8,29.0,5.4,13.5,.398,0.5,2.1,.235,4.9,11.4,.429,.417,0.9,1.1,.778,1.1,4.8,5.9,4.5,0.6,0.4,2.8,1.1,12.1,225,9.7,.433,.157,.083,4.8,16.7,11.3,22.8,1.0,1.1,16.4,25.5,-0.5,0.2,-0.3,-0.069,-3.7,-2.2,-5.9,-0.2
Cason Wallace,SG,6-4,20,8,1,23.0,3.4,4.9,.692,1.0,1.8,.571,2.4,3.1,.760,.795,1.0,1.0,1.000,0.5,2.0,2.5,1.5,0.6,0.3,0.8,1.9,8.8,184,14.8,.823,.359,.205,2.6,8.6,5.9,8.7,1.3,0.9,12.4,11.3,0.5,0.1,0.6,.152,0.8,-0.2,0.6,0.1
Isaiah Joe,SG,6-4,24,8,0,20.0,2.9,7.4,.390,2.4,6.0,.396,0.5,1.4,.364,.551,1.4,1.8,.786,0.1,2.0,2.1,1.3,0.6,0.0,0.9,1.5,9.5,159,11.6,.583,.814,.237,0.8,9.9,5.8,8.4,1.5,0.0,9.7,19.4,0.1,0.1,0.2,.057,-0.4,-1.6,-1.9,0.0
Jaylin Williams,C,6-10,21,3,0,13.0,2.0,3.7,.545,0.7,2.0,.333,1.3,1.7,.800,.636,1.3,1.3,1.000,0.3,3.0,3.3,1.7,0.3,0.3,0.7,2.7,6.0,38,17.6,.705,.545,.364,3.2,23.4,14.3,17.9,1.2,2.3,13.6,16.6,0.1,0.0,0.2,.203,0.4,1.8,2.2,0.0
Ousmane Dieng,PF,6-10,20,8,0,13.0,1.6,4.0,.406,0.9,2.9,.304,0.8,1.1,.667,.516,0.4,0.5,.750,0.6,1.8,2.4,1.0,0.1,0.0,0.5,0.6,4.5,99,10.5,.533,.719,.125,6.1,14.0,10.4,10.6,0.5,0.0,10.6,16.3,0.1,0.0,0.1,.046,-0.3,-2.4,-2.7,0.0
Dāvis Bertāns,PF,6-10,31,2,0,11.0,0.5,2.5,.200,0.5,2.5,.200,0.0,0.0,0.0,.300,3.0,3.0,1.000,0.0,0.5,0.5,0.5,0.5,0.0,0.0,1.5,4.5,23,11.2,.589,1.000,1.200,0.0,4.3,2.4,5.1,2.0,0.0,0.0,14.2,0.1,0.0,0.1,.136,-1.9,-1.6,-3.5,0.0
OKC,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02861476758535586,-0.06666666666666671,-0.02861476758535586,0.06666666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
