Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Anthony Edwards,SG,6-4,22,29,29,34.0,9.0,19.7,.458,2.6,6.8,.379,6.4,12.9,.500,.524,5.7,6.8,.842,0.6,4.8,5.3,5.1,1.3,0.7,3.3,1.8,26.3,1007,19.9,.580,.346,.343,2.1,14.6,8.7,24.8,1.9,1.6,12.7,32.7,1.0,1.8,2.8,.133,2.8,0.9,3.6,1.4
Karl-Anthony Towns,PF,7-0,28,31,31,31.0,7.7,15.1,.509,1.9,4.6,.413,5.8,10.5,.551,.572,4.1,4.6,.895,1.6,7.5,9.2,2.9,0.8,0.5,3.0,3.5,21.4,1016,18.5,.624,.306,.306,6.1,24.5,15.9,14.4,1.1,1.4,14.9,26.8,1.2,2.0,3.2,.151,0.9,1.0,2.0,1.0
Rudy Gobert,C,7-1,31,32,32,31.0,4.9,7.9,.619,0.0,0.0,.000,4.9,7.8,.622,.619,3.1,4.9,.635,3.5,8.6,12.1,1.2,0.7,2.1,1.6,2.8,12.8,1047,18.1,.641,.004,.619,13.1,27.8,20.9,5.3,1.1,5.6,13.7,15.5,1.8,2.5,4.2,.194,-0.4,1.9,1.5,0.9
Mike Conley,PG,6-0,36,32,32,28.0,3.8,8.3,.461,2.4,5.2,.455,1.5,3.1,.470,.603,1.4,1.5,.939,0.4,2.5,2.8,6.2,1.0,0.2,1.1,1.7,11.5,942,15.9,.638,.625,.184,1.5,8.9,5.5,29.1,1.7,0.5,10.8,15.0,2.4,1.4,3.8,.196,2.1,1.4,3.4,1.3
Jaden McDaniels,SF,6-9,23,22,21,26.0,4.4,8.3,.527,1.1,3.0,.364,3.3,5.3,.621,.593,0.7,1.0,.727,0.6,1.6,2.2,1.1,0.8,0.7,1.0,3.5,10.5,593,10.1,.605,.363,.121,2.9,6.3,4.7,5.9,1.4,2.3,10.7,15.8,0.3,0.9,1.2,.096,-2.9,1.0,-1.9,0.0
Kyle Anderson,PF,6-9,30,32,1,22.0,2.6,5.7,.462,0.1,0.8,.125,2.5,4.9,.513,.470,1.4,2.0,.688,0.7,2.9,3.6,4.0,0.8,0.8,1.6,1.4,6.7,741,11.4,.512,.132,.352,3.6,13.3,8.8,23.3,1.6,2.8,19.5,15.4,0.0,1.3,1.4,.088,-2.1,2.4,0.3,0.4
Nickeil Alexander-Walker,SG,6-5,25,32,11,21.0,2.4,5.8,.418,1.4,3.8,.369,1.0,1.9,.516,.541,0.3,0.5,.647,0.4,1.3,1.8,2.4,0.9,0.6,1.0,1.9,6.6,723,9.5,.548,.663,.092,2.2,6.3,4.4,14.5,2.0,2.2,13.9,13.4,0.2,1.2,1.4,.092,-2.1,2.2,0.1,0.4
Naz Reid,C,6-9,24,32,0,21.0,4.7,9.4,.502,1.9,4.7,.397,2.8,4.7,.607,.601,1.3,1.4,.913,1.0,3.4,4.4,1.0,0.7,0.6,1.4,2.0,12.6,706,16.4,.629,.502,.153,5.5,16.6,11.4,6.9,1.6,2.2,12.0,22.6,0.7,1.3,2.0,.135,0.8,0.9,1.7,0.7
Shake Milton,SG,6-5,27,27,0,14.0,1.8,4.7,.378,0.4,1.7,.255,1.3,3.0,.450,.425,1.3,1.6,.837,0.2,1.4,1.6,1.5,0.5,0.1,0.9,1.4,5.3,401,7.8,.493,.370,.339,1.5,9.8,5.9,13.7,1.7,0.6,14.6,18.6,-0.3,0.6,0.3,.037,-5.4,0.8,-4.6,-0.3
Troy Brown Jr.,SF,6-6,24,28,3,12.0,1.6,3.5,.455,0.9,2.4,.382,0.7,1.1,.613,.586,0.7,0.8,.864,0.5,1.8,2.3,0.9,0.3,0.1,0.5,0.8,4.8,366,11.7,.621,.687,.222,4.3,14.8,9.9,9.8,1.1,0.5,12.1,14.7,0.4,0.6,1.0,.128,-0.4,0.7,0.3,0.2
MIN,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.006088016889924219,0.008088198446504657,-0.00608801688992433,-0.008088198446504602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
