Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Shaedon Sharpe,SG,6-6,20,3,2,35.0,7.3,16.7,.440,2.3,7.0,.333,5.0,9.7,.517,.510,2.3,2.7,.875,3.0,2.3,5.3,2.3,1.0,0.0,2.0,2.7,19.3,106,16.0,.542,.420,.160,8.2,7.9,8.1,11.2,1.4,0.0,10.1,23.0,0.2,0.0,0.1,.052,1.3,-2.9,-1.7,0.0
Jerami Grant,PF,6-8,29,3,3,31.0,4.7,14.0,.333,0.7,4.3,.154,4.0,9.7,.414,.357,5.0,6.0,.833,1.3,2.7,4.0,1.7,0.7,1.0,2.7,2.7,15.0,94,9.0,.451,.310,.429,4.1,10.2,6.8,8.2,1.0,2.9,13.8,25.3,-0.1,0.0,-0.2,-0.078,-4.6,-3.1,-7.7,-0.1
Scoot Henderson,PG,6-3,19,3,3,28.0,3.3,10.0,.333,0.3,4.0,.083,3.0,6.0,.500,.350,0.3,0.3,1.000,1.0,1.3,2.3,3.0,0.3,0.3,4.3,4.0,7.3,87,-2.0,.361,.400,.033,3.3,5.5,4.3,15.1,0.6,1.0,29.9,20.5,-0.4,-0.1,-0.5,-0.248,-11.1,-5.2,-16.4,-0.3
Anfernee Simons,SG,6-3,24,1,1,26.0,6.0,14.0,.429,2.0,6.0,.333,4.0,8.0,.500,.500,4.0,4.0,1.000,1.0,1.0,2.0,4.0,2.0,0.0,0.0,2.0,18.0,27,25.6,.571,.429,.286,3.6,4.4,4.0,25.7,3.6,0.0,0.0,23.9,0.1,0.0,0.1,.233,4.6,0.2,4.7,0.0
Malcolm Brogdon,PG,6-5,31,3,0,25.0,7.0,15.7,.447,2.3,5.7,.412,4.7,10.0,.467,.521,2.3,3.0,.778,1.0,3.7,4.7,3.7,0.3,0.0,1.7,1.3,18.7,79,20.6,.549,.362,.191,3.6,16.7,9.5,26.1,0.6,0.0,8.9,29.0,0.2,0.0,0.2,.093,4.5,-2.5,1.9,0.1
Deandre Ayton,C,6-11,25,3,3,24.0,4.0,6.7,.600,0.0,0.0,0.0,4.0,6.7,.600,.600,0.3,0.3,1.000,3.0,9.0,12.0,1.3,1.7,0.7,1.7,4.0,8.3,74,18.9,.612,.000,.050,11.7,43.8,25.9,8.5,3.3,2.4,19.7,14.1,0.1,0.1,0.2,.122,-1.7,0.8,-0.8,0.0
Robert Williams,C,6-9,26,3,0,22.0,3.3,5.0,.667,0.0,0.0,0.0,3.3,5.0,.667,.667,0.7,1.0,.667,1.7,4.0,5.7,1.3,1.7,1.0,1.3,2.7,7.3,69,17.3,.674,.000,.200,7.0,20.9,13.1,8.9,3.5,3.9,19.7,12.1,0.1,0.1,0.2,.106,-2.2,1.5,-0.7,0.0
Toumani Camara,PF,6-8,23,3,0,21.0,2.3,8.3,.280,1.0,3.0,.333,1.3,5.3,.250,.340,1.3,2.0,.667,1.3,1.7,3.0,2.0,0.0,1.0,0.0,1.7,7.0,66,9.0,.380,.360,.240,5.8,9.1,7.3,13.1,0.0,4.1,0.0,17.2,0.0,0.0,0.0,-0.019,-2.0,-2.7,-4.7,0.0
Matisse Thybulle,SG,6-5,26,3,3,15.0,1.3,3.7,.364,0.7,3.0,.222,0.7,0.7,1.000,.455,0.0,0.0,0.0,0.3,0.7,1.0,0.3,0.7,0.3,0.7,1.0,3.3,47,5.0,.455,.818,.000,2.0,5.1,3.4,3.0,2.1,1.9,15.4,11.3,0.0,0.0,-0.1,-0.053,-5.6,-1.4,-7.0,-0.1
Jabari Walker,SF,6-9,21,3,0,13.0,2.7,5.0,.533,0.7,1.7,.400,2.0,3.3,.600,.600,3.0,3.3,.900,1.7,2.3,4.0,0.3,1.3,0.3,1.3,2.3,9.0,40,27.1,.696,.333,.667,12.0,21.0,16.0,4.2,4.9,2.2,17.1,24.0,0.1,0.0,0.2,.223,2.6,1.8,4.4,0.1
POR,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005090082908163263,0.006380585020893559,-0.005090082908163263,-0.006380585020893614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
