Player,Pos,Ht,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Kyle Kuzma,PF,6-9,28,4,4,32.0,9.5,19.3,.494,1.5,6.5,.231,8.0,12.8,.627,.532,2.5,3.0,.833,1.0,6.3,7.3,3.0,0.3,0.5,0.8,0.8,23.0,112,23.1,.559,.338,.156,3.5,25.1,13.5,18.9,0.4,1.6,3.5,31.2,0.2,0.0,0.2,.092,3.4,-2.5,1.0,0.1
Jordan Poole,SG,6-4,24,4,4,31.0,6.3,16.3,.385,1.8,7.3,.241,4.5,9.0,.500,.438,3.0,3.8,.800,0.5,1.8,2.3,2.5,1.5,0.8,3.3,1.8,17.3,108,10.7,.482,.446,.231,1.8,7.3,4.3,13.7,2.5,2.5,15.4,32.1,-0.3,0.0,-0.3,-0.125,-5.1,-3.1,-8.2,-0.2
Tyus Jones,PG,6-0,27,4,4,29.0,5.0,9.8,.513,1.8,4.8,.368,3.3,5.0,.650,.603,0.0,0.3,.000,0.8,1.5,2.3,5.8,1.3,0.3,1.3,1.0,11.8,105,17.4,.596,.487,.026,2.8,6.4,4.5,30.6,2.1,0.8,11.3,17.3,0.2,0.0,0.2,.089,0.7,-1.4,-0.7,0.0
Daniel Gafford,C,6-10,25,2,2,27.0,2.5,3.0,.833,0.0,0.0,0.0,2.5,3.0,.833,.833,3.0,5.0,.600,2.5,5.5,8.0,0.0,0.0,2.0,0.5,3.5,8.0,49,15.9,.769,.000,1.667,9.9,25.2,17.0,0.0,0.0,7.2,8.8,9.5,0.1,0.0,0.1,.147,-3.7,-1.3,-5.1,0.0
Deni Avdija,SF,6-9,23,4,4,26.0,5.5,10.5,.524,1.3,2.5,.500,4.3,8.0,.531,.583,0.8,1.3,.600,2.3,4.0,6.3,2.8,1.5,0.3,1.0,2.8,13.0,94,20.4,.588,.238,.119,9.3,19.1,13.8,17.4,2.9,0.9,8.3,21.0,0.2,0.0,0.2,.124,0.5,-0.5,0.1,0.0
Bilal Coulibaly,SF,6-6,19,4,1,26.0,1.8,5.5,.318,0.8,3.0,.250,1.0,2.5,.400,.386,0.0,0.5,.000,0.8,2.5,3.3,1.8,1.0,1.5,2.0,1.0,4.3,93,4.8,.372,.545,.091,3.1,12.1,7.3,9.1,1.9,5.7,25.9,13.6,-0.3,0.0,-0.2,-0.116,-7.1,-1.4,-8.5,-0.2
Delon Wright,PG,6-5,31,4,0,22.0,1.0,4.0,.250,0.5,1.3,.400,0.5,2.8,.182,.313,1.0,1.3,.800,0.3,3.0,3.3,6.0,1.8,0.3,0.3,0.5,3.5,79,15.6,.385,.313,.313,1.2,17.1,8.6,35.5,4.0,1.1,5.2,9.9,0.1,0.1,0.2,.098,-2.5,1.9,-0.6,0.0
Danilo Gallinari,SF,6-10,35,4,0,17.0,2.8,5.0,.550,0.5,1.3,.400,2.3,3.8,.600,.600,2.0,2.3,.889,0.8,1.8,2.5,0.8,0.5,0.0,0.3,0.5,8.0,60,18.7,.668,.250,.450,4.8,13.1,8.7,6.9,1.5,0.0,4.0,17.0,0.2,0.0,0.2,.143,0.4,-2.5,-2.1,0.0
Mike Muscala,C,6-10,32,3,1,15.0,1.0,2.7,.375,0.3,1.3,.250,0.7,1.3,.500,.438,0.7,0.7,1.000,0.3,3.0,3.3,1.0,0.3,0.3,0.7,1.7,3.0,41,7.2,.507,.500,.250,2.4,24.6,12.7,8.8,1.1,2.2,18.4,10.9,0.0,0.0,0.0,-0.005,-6.5,-1.2,-7.7,-0.1
Johnny Davis,SG,6-5,21,2,0,15.0,2.5,5.0,.500,0.0,0.5,.000,2.5,4.5,.556,.500,1.0,1.5,.667,0.5,1.0,1.5,0.0,1.5,0.0,1.0,2.5,6.0,26,10.3,.530,.100,.300,3.7,8.6,6.0,0.0,5.2,0.0,15.0,21.0,0.0,0.0,0.0,-0.029,-9.4,-0.2,-9.6,-0.1
WAS,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2PT% Margin Home,3PT% Margin Home,2PT% Margin Away,3PT% Margin Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.020408163265306034,0.016196646341463394,0.020408163265306145,-0.01619664634146345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
